"Power_level";"Section";"Class";"Energy"
"LV-a";"A";"01.11";8574,1008480407
"LV-a";"A";"01.13";12818,908269298
"LV-a";"A";"01.19";8045,7602118322
"LV-a";"A";"01.21";9065,610122764
"LV-a";"A";"01.24";16547,00503845
"LV-a";"A";"01.25";31021,0769319911
"LV-a";"A";"01.29";8356,161146933
"LV-a";"A";"01.41";26686,6510324803
"LV-a";"A";"01.42";10862,2289885698
"LV-a";"A";"01.43";23722,7339796153
"LV-a";"A";"01.45";21707,4802019795
"LV-a";"A";"01.46";45436,888283727
"LV-a";"A";"01.47";7330,0306263203
"LV-a";"A";"01.49";3246,90592511596
"LV-a";"A";"01.5";20517,2803786552
"LV-a";"A";"01.61";10876,0544215822
"LV-a";"A";"01.62";5610,39338800627
"LV-a";"A";"02.10";11647,8623928806
"LV-a";"B";"5/6/7/8";6170,75386839313
"LV-a";"C";"10.1";30583,7545567622
"LV-a";"C";"10.3";21785,3091753883
"LV-a";"C";"10.4";605,490760667036
"LV-a";"C";"10.5";833,81136035489
"LV-a";"C";"10.71";35398,852844507
"LV-a";"C";"10.89";12799,3830782144
"LV-a";"C";"10.9";31575,132852871
"LV-a";"C";"11.01";109,565728354953
"LV-a";"C";"11.02";10206,824815708
"LV-a";"C";"13.2/13.3";14607,2739044291
"LV-a";"C";"13.9";9210,1675830055
"LV-a";"C";"14.1";7981,82937850688
"LV-a";"C";"15";6470,24727358218
"LV-a";"C";"16.2";11038,909826028
"LV-a";"C";"17.12";8851,44792131371
"LV-a";"C";"18.1";12584,8515004277
"LV-a";"C";"20.13";18188,9043702277
"LV-a";"C";"20.30";17461,6006018929
"LV-a";"C";"20.59";9831,65307930048
"LV-a";"C";"22.2";9655,78518153523
"LV-a";"C";"23.11";13018,049353968
"LV-a";"C";"23.19";2175,16598544807
"LV-a";"C";"23.4/23.3";5024,2300052528
"LV-a";"C";"25.12";19146,4822667445
"LV-a";"C";"25.50";893,134492790508
"LV-a";"C";"25.61";22618,3815834476
"LV-a";"C";"25.62";17336,4453890635
"LV-a";"C";"25.7";9109,8760581057
"LV-a";"C";"25.99";895,321169637549
"LV-a";"C";"26.40";34485,03177538
"LV-a";"C";"26.5";12404,2074992699
"LV-a";"C";"27.1";20184,5272647788
"LV-a";"C";"27.40";14020,3085138662
"LV-a";"C";"27.90";9709,2212108342
"LV-a";"C";"28.4";11004,2020698125
"LV-a";"C";"31.01";7806,9167679023
"LV-a";"C";"31.03";3,046504969916
"LV-a";"C";"32";8391,9602712943
"LV-a";"C";"33.12";12612,7839785349
"LV-a";"C";"33.17/33.16/33.15";1223,22971748688
"LV-a";"D";"35";5831,6665300832
"LV-a";"E";"36";4932,7403448734
"LV-a";"E";"38";14917,8425827229
"LV-a";"F";"41.10";11316,7800025847
"LV-a";"F";"41.20";7320,79724199064
"LV-a";"F";"42.12";10363,1849531579
"LV-a";"F";"42.22";5787,0531131179
"LV-a";"F";"42.99";15139,4740619034
"LV-a";"F";"43.11";3884,93499541001
"LV-a";"F";"43.12";20295,8348953474
