"Power_level";"Section";"Class";"Energy"
"LV-a";"A";"01.11";897704851
"LV-a";"A";"01.13";92276338
"LV-a";"A";"01.19";25942559
"LV-a";"A";"01.21";262699786
"LV-a";"A";"01.24";77115978
"LV-a";"A";"01.25";5233595
"LV-a";"A";"01.29";1796706
"LV-a";"A";"01.41";732070198
"LV-a";"A";"01.42";494112869
"LV-a";"A";"01.43";35519407
"LV-a";"A";"01.45";115934879
"LV-a";"A";"01.46";114319330
"LV-a";"A";"01.47";138801720
"LV-a";"A";"01.49";40563763
"LV-a";"A";"01.5";392602292
"LV-a";"A";"01.61";52731799
"LV-a";"A";"01.62";11362114
"LV-a";"A";"02.10";4639963
"LV-a";"B";"5/6/7/8";9780672
"LV-a";"C";"10.1";81731689
"LV-a";"C";"10.3";5494470
"LV-a";"C";"10.4";1060616
"LV-a";"C";"10.5";18302767
"LV-a";"C";"10.71";669137466
"LV-a";"C";"10.89";5720361
"LV-a";"C";"10.9";2057140
"LV-a";"C";"11.01";4667387
"LV-a";"C";"11.02";10036132
"LV-a";"C";"32";72153179
"LV-a";"C";"13.2/13.3";1477079
"LV-a";"C";"13.9";12126709
"LV-a";"C";"14.1";24941223
"LV-a";"C";"15";7877210
"LV-a";"C";"16.2";17062435
"LV-a";"C";"17.12";828618
"LV-a";"C";"18.1";41569389
"LV-a";"D";"35";65037415
"LV-a";"C";"20.13";862333
"LV-a";"C";"20.30";2447621
"LV-a";"C";"20.59";1885810
"LV-a";"C";"22.2";14087968
"LV-a";"C";"23.11";47613
"LV-a";"C";"23.19";1465650
"LV-a";"C";"23.4/23.3";5419858
"LV-a";"C";"25.12";10042721
"LV-a";"C";"25.50";4598590
"LV-a";"C";"25.61";6794726
"LV-a";"C";"25.62";28348350
"LV-a";"C";"25.7";8137138
"LV-a";"C";"25.99";5871917
"LV-a";"C";"26.40";1476333
"LV-a";"C";"26.5";9092568
"LV-a";"C";"27.1";6359194
"LV-a";"C";"27.40";3710262
"LV-a";"C";"27.90";2749212
"LV-a";"C";"28.4";2111118
"LV-a";"C";"31.01";2989763
"LV-a";"C";"31.03";1017365
"LV-a";"C";"33.12";37124174
"LV-a";"C";"33.17/33.16/33.15";481292
"LV-a";"E";"36";178002897
"LV-a";"E";"38";46293951
"LV-a";"F";"41.10";108400263
"LV-a";"F";"41.20";80122216
"LV-a";"F";"42.12";2352247
"LV-a";"F";"42.22";14745455
"LV-a";"F";"42.99";22393446
"LV-a";"F";"43.11";3237993
"LV-a";"F";"43.12";52689464
"LV-a";"F";"43.21";101721908
"LV-a";"F";"43.22";90651461
"LV-a";"F";"43.29";24718176
"LV-a";"F";"43.31";16933577
"LV-a";"F";"43.32";169951298
"LV-a";"F";"43.33";20671155
"LV-a";"F";"43.34";49020108
"LV-a";"F";"43.39";9799378
"LV-a";"F";"43.91";44250633
"LV-a";"F";"43.99";145852877
"LV-a";"G";"45.11";168110363
"LV-a";"G";"45.19";7491876
"LV-a";"G";"45.20";384094030
"LV-a";"G";"45.31";34805332
"LV-a";"G";"45.32";45150133
"LV-a";"G";"45.40";38565172
"LV-a";"G";"46.11";1678408
"LV-a";"G";"46.12";902774
"LV-a";"G";"46.15";1398880
"LV-a";"G";"46.16";2631144
"LV-a";"G";"46.18";13456644
"LV-a";"G";"46.19";18455711
"LV-a";"G";"46.21";28062226
"LV-a";"G";"46.23";11257676
"LV-a";"G";"46.31";26575677
"LV-a";"G";"46.32";10317674
"LV-a";"G";"46.34";35848211
"LV-a";"G";"46.38";27697723
"LV-a";"G";"46.39";21981842
"LV-a";"G";"46.41";9520057
"LV-a";"G";"46.42";36796970
"LV-a";"G";"46.43";8496867
"LV-a";"G";"46.46";16653500
"LV-a";"G";"46.49";48737856
"LV-a";"G";"46.51";21690455
"LV-a";"G";"46.52";16499787
"LV-a";"G";"46.61";50891898
"LV-a";"G";"46.65";3011241
"LV-a";"G";"46.66";12675027
"LV-a";"G";"46.69";115349855
"LV-a";"G";"46.73";104565431
"LV-a";"G";"46.74";37823249
"LV-a";"G";"46.75";15364313
"LV-a";"G";"46.76";8503072
"LV-a";"G";"46.77";3617594
"LV-a";"G";"46.90";35560538
"LV-a";"G";"47.11";419071230
"LV-a";"G";"47.21";58634544
"LV-a";"G";"47.22";277955165
"LV-a";"G";"47.23";30771302
"LV-a";"G";"47.24";55136456
"LV-a";"G";"47.25";41937160
"LV-a";"G";"47.26";54517648
"LV-a";"G";"47.29";113977057
"LV-a";"G";"47.30";37357219
"LV-a";"G";"47.41";18825334
"LV-a";"G";"47.42";97746552
"LV-a";"G";"47.51";24909913
"LV-a";"G";"47.52";62045315
"LV-a";"G";"47.53";5599616
"LV-a";"G";"47.54";27422120
"LV-a";"G";"47.59";131704969
"LV-a";"G";"47.61";19967931
"LV-a";"G";"47.62";72970965
"LV-a";"G";"47.64";78820882
"LV-a";"G";"47.71";357807351
"LV-a";"G";"47.72";86305736
"LV-a";"G";"47.73";335426220
"LV-a";"G";"47.74";35318296
"LV-a";"G";"47.75";59376002
"LV-a";"G";"47.76";100742335
"LV-a";"G";"47.77";49756515
"LV-a";"G";"47.78";298306606
"LV-a";"G";"47.79";36515085
"LV-a";"G";"47.81";54489717
"LV-a";"G";"47.82";3512822
"LV-a";"G";"47.89";15324099
"LV-a";"G";"47.91";21594858
"LV-a";"G";"47.99";23271127
"LV-a";"H";"49.10";66030192
"LV-a";"H";"49.20";19268878
"LV-a";"H";"49.32";9487674
"LV-a";"H";"49.39";34697649
"LV-a";"H";"49.41";103830425
"LV-a";"H";"49.42";9118027
"LV-a";"H";"52.10";19555397
"LV-a";"H";"52.21";38345462
"LV-a";"H";"52.24";2336327
"LV-a";"H";"52.29";28691294
"LV-a";"H";"53.10";119122442
"LV-a";"I";"55.10";292455096
"LV-a";"I";"55.20";126605319
"LV-a";"I";"55.30";59934229
"LV-a";"I";"55.90";22685730
"LV-a";"I";"56.10";2346480568
"LV-a";"I";"56.21";53893466
"LV-a";"I";"56.29";9747627
"LV-a";"I";"56.30";484620901
"LV-a";"J";"58.11";5678950
"LV-a";"J";"58.13";7051128
"LV-a";"J";"58.14";8410546
"LV-a";"J";"58.29";24983664
"LV-a";"J";"59.11";23806250
"LV-a";"J";"59.12";8659848
"LV-a";"J";"60.10";10024615
"LV-a";"J";"61.10";628262962
"LV-a";"J";"61.20";388207970
"LV-a";"J";"61.90";65125985
"LV-a";"J";"62.01";38111564
"LV-a";"J";"62.02";67271076
"LV-a";"J";"62.09";5649741
"LV-a";"J";"63.11";12988198
"LV-a";"J";"63.12";2250373
"LV-a";"J";"63.91";1806595
"LV-a";"K";"64.19";257760336
"LV-a";"K";"64.20";128267568
"LV-a";"K";"64.30";13834585
"LV-a";"K";"64.92";6198391
"LV-a";"K";"65.11";4104196
"LV-a";"K";"65.12";77106825
"LV-a";"K";"66.19";97862073
"LV-a";"K";"66.22";99065154
"LV-a";"K";"66.30";10601216
"LV-a";"L";"68.10";51500048
"LV-a";"L";"68.20";2631417119
"LV-a";"L";"68.31";554816541
"LV-a";"L";"68.32";1762445021
"LV-a";"M";"69.10";176246521
"LV-a";"M";"69.20";137158204
"LV-a";"M";"70.10";560056170
"LV-a";"M";"70.21";10229814
"LV-a";"M";"70.22";99263940
"LV-a";"M";"71.11";63309255
"LV-a";"M";"71.12";140204893
"LV-a";"M";"71.20";71359392
"LV-a";"M";"72.19";11056388
"LV-a";"M";"73.11";42000040
"LV-a";"M";"73.12";13679021
"LV-a";"M";"73.20";5287747
"LV-a";"M";"74.10";12498095
"LV-a";"M";"74.20";19813651
"LV-a";"M";"74.30";10140220
