"Power_level";"Class";"Cluster"
"LV-a";"01.11";6
"LV-a";"01.13";6
"LV-a";"01.19";6
"LV-a";"01.21";11
"LV-a";"01.24";11
"LV-a";"01.25";6
"LV-a";"01.29";6
"LV-a";"01.41";7
"LV-a";"01.42";7
"LV-a";"01.43";7
"LV-a";"01.45";7
"LV-a";"01.46";7
"LV-a";"01.47";7
"LV-a";"01.49";7
"LV-a";"01.5";7
"LV-a";"01.61";7
"LV-a";"01.62";7
"LV-a";"02.10";6
"LV-a";"5/6/7/8";11
"LV-a";"10.1";10
"LV-a";"10.3";10
"LV-a";"10.4";10
"LV-a";"10.5";10
"LV-a";"10.71";14
"LV-a";"10.89";10
"LV-a";"10.9";10
"LV-a";"11.01";11
"LV-a";"11.02";11
"LV-a";"32";1
"LV-a";"13.2/13.3";1
"LV-a";"13.9";1
"LV-a";"14.1";1
"LV-a";"15";1
"LV-a";"16.2";1
"LV-a";"17.12";1
"LV-a";"18.1";1
"LV-a";"35";12
"LV-a";"20.13";1
"LV-a";"20.30";1
"LV-a";"20.59";1
"LV-a";"22.2";1
"LV-a";"23.11";1
"LV-a";"23.19";1
"LV-a";"23.4/23.3";1
"LV-a";"25.12";1
"LV-a";"25.50";1
"LV-a";"25.61";1
"LV-a";"25.62";1
"LV-a";"25.7";1
"LV-a";"25.99";1
"LV-a";"26.40";1
"LV-a";"26.5";1
"LV-a";"27.1";1
"LV-a";"27.40";1
"LV-a";"27.90";1
"LV-a";"28.4";1
"LV-a";"31.01";1
"LV-a";"31.03";1
"LV-a";"33.12";2
"LV-a";"33.17/33.16/33.15";2
"LV-a";"36";8
"LV-a";"38";8
"LV-a";"41.10";18
"LV-a";"41.20";18
"LV-a";"42.12";18
"LV-a";"42.22";18
"LV-a";"42.99";18
"LV-a";"43.11";18
"LV-a";"43.12";18
"LV-a";"43.21";18
"LV-a";"43.22";18
"LV-a";"43.29";18
"LV-a";"43.31";18
"LV-a";"43.32";18
"LV-a";"43.33";18
"LV-a";"43.34";18
"LV-a";"43.39";18
"LV-a";"43.91";18
"LV-a";"43.99";18
"LV-a";"45.11";2
"LV-a";"45.19";2
"LV-a";"45.20";2
"LV-a";"45.31";2
"LV-a";"45.32";2
"LV-a";"45.40";2
"LV-a";"46.11";2
"LV-a";"46.12";2
"LV-a";"46.15";2
"LV-a";"46.16";2
"LV-a";"46.18";2
"LV-a";"46.19";2
"LV-a";"46.21";3
"LV-a";"46.23";3
"LV-a";"46.31";3
"LV-a";"46.32";3
"LV-a";"46.34";3
"LV-a";"46.38";3
"LV-a";"46.39";3
"LV-a";"46.41";2
"LV-a";"46.42";2
"LV-a";"46.43";2
"LV-a";"46.46";2
"LV-a";"46.49";2
"LV-a";"46.51";2
"LV-a";"46.52";2
"LV-a";"46.61";2
"LV-a";"46.65";2
"LV-a";"46.66";2
"LV-a";"46.69";2
"LV-a";"46.73";2
"LV-a";"46.74";2
"LV-a";"46.75";2
"LV-a";"46.76";2
"LV-a";"46.77";2
"LV-a";"46.90";2
"LV-a";"47.11";3
"LV-a";"47.21";3
"LV-a";"47.22";3
"LV-a";"47.23";3
"LV-a";"47.24";14
"LV-a";"47.25";3
"LV-a";"47.26";3
"LV-a";"47.29";3
"LV-a";"47.30";2
"LV-a";"47.41";2
"LV-a";"47.42";2
"LV-a";"47.51";2
"LV-a";"47.52";2
"LV-a";"47.53";2
"LV-a";"47.54";2
"LV-a";"47.59";2
"LV-a";"47.61";2
"LV-a";"47.62";2
"LV-a";"47.64";2
"LV-a";"47.71";2
"LV-a";"47.72";2
"LV-a";"47.73";2
"LV-a";"47.74";2
"LV-a";"47.75";2
"LV-a";"47.76";3
"LV-a";"47.77";2
"LV-a";"47.78";2
"LV-a";"47.79";2
"LV-a";"47.81";3
"LV-a";"47.82";3
"LV-a";"47.89";2
"LV-a";"47.91";3
"LV-a";"47.99";2
"LV-a";"49.10";3
"LV-a";"49.20";9
"LV-a";"49.32";2
"LV-a";"49.39";2
"LV-a";"49.41";2
"LV-a";"49.42";5
"LV-a";"52.10";3
"LV-a";"52.21";2
"LV-a";"52.24";9
"LV-a";"52.29";9
"LV-a";"53.10";5
"LV-a";"55.10";13
"LV-a";"55.20";13
"LV-a";"55.30";7
"LV-a";"55.90";13
"LV-a";"56.10";9
"LV-a";"56.21";9
"LV-a";"56.29";9
"LV-a";"56.30";9
"LV-a";"58.11";5
"LV-a";"58.13";2
"LV-a";"58.14";11
"LV-a";"58.29";2
"LV-a";"59.11";11
"LV-a";"59.12";5
"LV-a";"60.10";5
"LV-a";"61.10";8
"LV-a";"61.20";8
"LV-a";"61.90";8
"LV-a";"62.01";5
"LV-a";"62.02";5
"LV-a";"62.09";5
"LV-a";"63.11";5
"LV-a";"63.12";5
"LV-a";"63.91";5
"LV-a";"64.19";5
"LV-a";"64.20";5
"LV-a";"64.30";5
"LV-a";"64.92";5
"LV-a";"65.11";5
"LV-a";"65.12";5
"LV-a";"66.19";5
"LV-a";"66.22";5
"LV-a";"66.30";5
"LV-a";"68.10";12
"LV-a";"68.20";12
"LV-a";"68.31";5
"LV-a";"68.32";15
"LV-a";"69.10";5
"LV-a";"69.20";5
"LV-a";"70.10";5
"LV-a";"70.21";5
"LV-a";"70.22";5
"LV-a";"71.11";5
"LV-a";"71.12";5
"LV-a";"71.20";5
"LV-a";"72.19";16
"LV-a";"73.11";5
"LV-a";"73.12";5
"LV-a";"73.20";5
"LV-a";"74.10";5
"LV-a";"74.20";5
"LV-a";"74.30";5
"LV-a";"74.90";5
"LV-a";"75.00";5
"LV-a";"77.11";5
"LV-a";"77.22";5
"LV-a";"77.29";5
"LV-a";"77.32";5
"LV-a";"77.33";5
"LV-a";"77.39";5
"LV-a";"78.10";5
"LV-a";"78.20";5
"LV-a";"78.30";5
"LV-a";"79.11";5
"LV-a";"79.12";5
"LV-a";"79.90";5
"LV-a";"81.10";2
"LV-a";"81.21";11
"LV-a";"81.22";11
"LV-a";"81.29";3
"LV-a";"81.30";2
