"Power_level";"Class";"Cluster"
"LV-a";"01.11";15
"LV-a";"01.13";13
"LV-a";"01.19";15
"LV-a";"01.21";5
"LV-a";"01.24";11
"LV-a";"01.25";6
"LV-a";"01.29";15
"LV-a";"01.41";7
"LV-a";"01.42";15
"LV-a";"01.43";15
"LV-a";"01.45";7
"LV-a";"01.46";11
"LV-a";"01.47";7
"LV-a";"01.49";7
"LV-a";"01.5";7
"LV-a";"01.61";7
"LV-a";"01.62";7
"LV-a";"02.10";7
"LV-a";"5/6/7/8";12
"LV-a";"10.1";3
"LV-a";"10.3";11
"LV-a";"10.4";7
"LV-a";"10.5";15
"LV-a";"10.71";14
"LV-a";"10.89";16
"LV-a";"10.9";15
"LV-a";"11.01";7
"LV-a";"11.02";12
"LV-a";"32";12
"LV-a";"13.2/13.3";4
"LV-a";"13.9";12
"LV-a";"14.1";5
"LV-a";"15";12
"LV-a";"16.2";7
"LV-a";"17.12";4
"LV-a";"18.1";4
"LV-a";"35";15
"LV-a";"20.13";2
"LV-a";"20.30";4
"LV-a";"20.59";12
"LV-a";"22.2";12
"LV-a";"23.11";15
"LV-a";"23.19";7
"LV-a";"23.4/23.3";2
"LV-a";"25.12";4
"LV-a";"25.50";4
"LV-a";"25.61";12
"LV-a";"25.62";4
"LV-a";"25.7";12
"LV-a";"25.99";7
"LV-a";"26.40";12
"LV-a";"26.5";12
"LV-a";"27.1";15
"LV-a";"27.40";12
"LV-a";"27.90";4
"LV-a";"28.4";12
"LV-a";"31.01";16
"LV-a";"31.03";7
"LV-a";"33.12";12
"LV-a";"33.17/33.16/33.15";7
"LV-a";"36";15
"LV-a";"38";15
"LV-a";"41.10";5
"LV-a";"41.20";15
"LV-a";"42.12";12
"LV-a";"42.22";12
"LV-a";"42.99";15
"LV-a";"43.11";15
"LV-a";"43.12";5
"LV-a";"43.21";12
"LV-a";"43.22";5
"LV-a";"43.29";2
"LV-a";"43.31";15
"LV-a";"43.32";12
"LV-a";"43.33";5
"LV-a";"43.34";15
"LV-a";"43.39";7
"LV-a";"43.91";15
"LV-a";"43.99";15
"LV-a";"45.11";12
"LV-a";"45.19";12
"LV-a";"45.20";12
