"Power_level";"Section";"Class";"Mean";"Sd"
"LV-a";"A";"01.11";981,579949389147;229,507896638005
"LV-b";"A";"01.11";7591,27616675778;4395,51410972339
"MV";"A";"01.11";10118,374506175;10470,4756367842
"MV";"A";"01.12";6244,3534923488;6995,64991333523
"LV-a";"A";"01.13";1467,53386036505;510,12984361354
"LV-b";"A";"01.13";14229,8279551875;7225,08969333666
"MV";"A";"01.13";42619,5807807978;11436,4939524849
"MV";"A";"01.15";18869,2096970698;35305,9830618196
"LV-a";"A";"01.19";921,094472065942;459,31984101244
"MV";"A";"01.19";13640,8633626448;5230,6458768442
"LV-a";"A";"01.21";1037,84889900657;383,478335599586
"LV-b";"A";"01.21";10482,2955867933;3665,78865220693
"MV";"A";"01.21";17374,1833331147;5100,83275927418
"LV-a";"A";"01.24";1894,33372114333;691,925123004901
"LV-b";"A";"01.24";11204,3838459315;4542,59480336605
"MV";"A";"01.24";17415,4598341707;7868,94231818771
"LV-a";"A";"01.25";3551,35396833797;5782,92763875531
"LV-b";"A";"01.25";8674,08011625579;14870,2600214121
"MV";"A";"01.25";1256,34587919775;484,202167723759
"LV-b";"A";"01.28";1038,1132639203;1875,89537944616
"LV-a";"A";"01.29";956,629783224247;738,298580189305
"MV";"A";"01.29";57452,2332222038;148787,316186982
"LV-b";"A";"01.30";15533,5785709452;9222,14405145645
"MV";"A";"01.30";35046,6609856284;9439,88668860785
"LV-a";"A";"01.41";3055,14036075495;1054,77200064685
"LV-b";"A";"01.41";10431,7486727858;3341,6977270048
"MV";"A";"01.41";13812,0561913755;6089,34886726782
"LV-a";"A";"01.42";1243,52936196294;356,587810443391
"LV-b";"A";"01.42";7420,33128347837;5456,81761898054
"MV";"A";"01.42";6333,96774465049;5112,39216770415
"LV-a";"A";"01.43";2715,8252976759;1452,81797176078
"MV";"A";"01.43";9621,99453532326;2973,87481683104
"LV-a";"A";"01.45";2485,11507561717;925,682377822628
"MV";"A";"01.45";5985,78894600342;7830,25715725783
"LV-a";"A";"01.46";5201,7044461447;2364,88478168634
"LV-b";"A";"01.46";23910,8774576354;5477,67206619401
"MV";"A";"01.46";41868,7549750034;7598,13990499448
"LV-a";"A";"01.47";839,156338752719;392,278987219852
"LV-b";"A";"01.47";14504,0424048745;4617,63071976435
"MV";"A";"01.47";50584,7412965053;6375,80178427502
"LV-a";"A";"01.49";371,712183848837;372,980505633881
"MV";"A";"01.49";27430,8932397264;4484,50211194671
"LV-a";"A";"01.5";2348,85865499107;1192,77830230447
"LV-b";"A";"01.5";10113,8859158609;2954,24066770842
"MV";"A";"01.5";9970,87335355208;4374,46141335601
"LV-a";"A";"01.61";1245,11212450488;599,263080827169
"LV-b";"A";"01.61";5269,68717118082;7606,10296392532
"MV";"A";"01.61";16288,8696151121;14960,2624806817
"LV-a";"A";"01.62";642,288883551643;389,982244895402
"MV";"A";"01.62";26551,0455347587;15100,776281947
"LV-b";"A";"01.63";5330,07716442727;4249,22107272725
"MV";"A";"01.64";59683,9705563567;58405,5930966065
"MV";"A";"01.70";6794,00165735005;3230,94221453317
"LV-a";"A";"02.10";1333,47022406377;722,403539765041
"LV-b";"A";"02.10";3633,50059559832;3171,72828278042
"MV";"A";"02.10";12667,669938058;8865,91589717292
"LV-b";"A";"02.20";8544,93104871117;11805,4462520499
"MV";"A";"02.20";28651,1270175183;18192,6268831648
"MV";"A";"02.30";79628,7823510462;22396,9878254922
"LV-b";"A";"02.40";6080,81974673752;2890,27741666273
"MV";"A";"02.40";8678,78780501351;5287,21563503481
"LV-b";"A";"03.21";21283,6067168149;6721,88539051224
"MV";"A";"03.21";65130,4284832681;6341,3187664612
"MV";"A";"03.22";156491,90475731;58633,3766313795
"LV-a";"C";"10.1";3501,28845056674;1486,19800683969
"LV-b";"C";"10.1";18743,7465799019;6412,98384472495
"MV";"C";"10.1";193242,423657383;56640,2219289255
"MV";"C";"10.20";130891,200838935;44035,4923145668
"LV-a";"C";"10.3";2494,02509053044;1941,71462529635
"MV";"C";"10.3";192427,432793407;54664,7456485336
"LV-a";"C";"10.4";69,3177745184671;139,612092510514
"MV";"C";"10.4";634712,882576866;73593,448303357
"LV-a";"C";"10.5";95,4563663767899;195,800467121902
"LV-b";"C";"10.5";17344,9696491985;6178,066620772
"MV";"C";"10.5";316467,26347524;47443,7468115131
