"Section";"Class";"Power_level";"Nb_customer"
"A";"01.11";"LV-a";119
"A";"01.11";"LV-b";81
"A";"01.11";"MV";195
"A";"01.12";"LV-a";0
"A";"01.12";"LV-b";0
"A";"01.12";"MV";4
"A";"01.13";"LV-a";10
"A";"01.13";"LV-b";11
"A";"01.13";"MV";105
"A";"01.15";"LV-a";0
"A";"01.15";"LV-b";0
"A";"01.15";"MV";1
"A";"01.19";"LV-a";5
"A";"01.19";"LV-b";0
"A";"01.19";"MV";23
"A";"01.21";"LV-a";160
"A";"01.21";"LV-b";15
"A";"01.21";"MV";53
"A";"01.24";"LV-a";18
"A";"01.24";"LV-b";10
"A";"01.24";"MV";66
"A";"01.25";"LV-a";1
"A";"01.25";"LV-b";1
"A";"01.25";"MV";1
"A";"01.28";"LV-a";0
"A";"01.28";"LV-b";1
"A";"01.28";"MV";0
"A";"01.29";"LV-a";1
"A";"01.29";"LV-b";0
"A";"01.29";"MV";1
"A";"01.30";"LV-a";0
"A";"01.30";"LV-b";1
"A";"01.30";"MV";15
"A";"01.41";"LV-a";6
"A";"01.41";"LV-b";22
"A";"01.41";"MV";6
"A";"01.42";"LV-a";10
"A";"01.42";"LV-b";5
"A";"01.42";"MV";4
"A";"01.43";"LV-a";2
"A";"01.43";"LV-b";1
"A";"01.43";"MV";6
"A";"01.45";"LV-a";7
"A";"01.45";"LV-b";0
"A";"01.45";"MV";4
"A";"01.46";"LV-a";2
"A";"01.46";"LV-b";52
"A";"01.46";"MV";21
"A";"01.47";"LV-a";2
"A";"01.47";"LV-b";30
"A";"01.47";"MV";86
"A";"01.49";"LV-a";1
"A";"01.49";"LV-b";0
"A";"01.49";"MV";9
"A";"01.5";"LV-a";18
"A";"01.5";"LV-b";42
"A";"01.5";"MV";24
"A";"01.61";"LV-a";3
"A";"01.61";"LV-b";4
"A";"01.61";"MV";49
"A";"01.62";"LV-a";2
"A";"01.62";"LV-b";0
"A";"01.62";"MV";4
"A";"01.63";"LV-a";0
"A";"01.63";"LV-b";1
"A";"01.63";"MV";0
"A";"01.64";"LV-a";0
"A";"01.64";"LV-b";0
"A";"01.64";"MV";1
"A";"01.70";"LV-a";0
"A";"01.70";"LV-b";0
"A";"01.70";"MV";1
"A";"02.10";"LV-a";1
"A";"02.10";"LV-b";1
"A";"02.10";"MV";3
"A";"02.20";"LV-a";0
"A";"02.20";"LV-b";1
"A";"02.20";"MV";37
"A";"02.30";"LV-a";0
"A";"02.30";"LV-b";0
"A";"02.30";"MV";1
"A";"02.40";"LV-a";0
"A";"02.40";"LV-b";1
"A";"02.40";"MV";4
"A";"03.21";"LV-a";0
"A";"03.21";"LV-b";1
"A";"03.21";"MV";22
"A";"03.22";"LV-a";0
"A";"03.22";"LV-b";0
"A";"03.22";"MV";3
"B";"5/6/7/8";"LV-a";11
"B";"5/6/7/8";"LV-b";6
"B";"5/6/7/8";"MV";1135
"C";"10.1";"LV-a";9
"C";"10.1";"LV-b";3
"C";"10.1";"MV";600
"C";"10.20";"LV-a";0
"C";"10.20";"LV-b";0
"C";"10.20";"MV";83
"C";"10.3";"LV-a";2
"C";"10.3";"LV-b";0
"C";"10.3";"MV";177
"C";"10.4";"LV-a";2
"C";"10.4";"LV-b";0
"C";"10.4";"MV";29
"C";"10.5";"LV-a";1
"C";"10.5";"LV-b";2
"C";"10.5";"MV";364
"C";"10.61";"LV-a";0
"C";"10.61";"LV-b";1
"C";"10.61";"MV";164
"C";"10.62";"LV-a";0
"C";"10.62";"LV-b";0
"C";"10.62";"MV";3
"C";"10.71";"LV-a";46
"C";"10.71";"LV-b";83
"C";"10.71";"MV";337
"C";"10.81";"LV-a";0
"C";"10.81";"LV-b";0
"C";"10.81";"MV";40
"C";"10.89";"LV-a";3
"C";"10.89";"LV-b";3
"C";"10.89";"MV";390
"C";"10.9";"LV-a";1
"C";"10.9";"LV-b";1
"C";"10.9";"MV";261
"C";"11.01";"LV-a";3
"C";"11.01";"LV-b";1
"C";"11.01";"MV";46
"C";"11.02";"LV-a";6
"C";"11.02";"LV-b";6
"C";"11.02";"MV";323
"C";"11.05";"LV-a";0
"C";"11.05";"LV-b";0
"C";"11.05";"MV";21
"C";"11.07";"LV-a";0
"C";"11.07";"LV-b";0
"C";"11.07";"MV";91
"C";"13.10";"LV-a";0
"C";"13.10";"LV-b";0
"C";"13.10";"MV";89
"C";"13.2/13.3";"LV-a";2
"C";"13.2/13.3";"LV-b";2
"C";"13.2/13.3";"MV";119
"C";"13.9";"LV-a";2
"C";"13.9";"LV-b";0
"C";"13.9";"MV";139
"C";"14.1";"LV-a";7
"C";"14.1";"LV-b";3
"C";"14.1";"MV";57
"C";"15";"LV-a";1
"C";"15";"LV-b";1
"C";"15";"MV";89
