NUTS2Nr,Nuts2,Country1,Country Code,Scenario,ONOFF,Offshore categories,Subscenario - not cumulative,Nuts Area,Suitable area,SHARE_Surface,GW_<15%_2030_100m_ALLTIMESLICESAVERAGE_V112,GW_15%-20%_2030_100m_ALLTIMESLICESAVERAGE_V112,GW_20%-25%_2030_100m_ALLTIMESLICESAVERAGE_V112,GW_Morethan25%_2030_100m_ALLTIMESLICESAVERAGE_V112,Population,MWh_TOT_Per1000hab,Share lower 15%,Share 15%-20%,Share 20%-25%,Share >25% after correction with 85%,AVG([SHARE_Surface]*([Share >25% after correction with 85%]+[Share 20%-25%])),RealCF (top 10%),RealCF>20,Real average CF over whole region,RealCF<15%,RealCF15%-20%,RealCF20%-25%,RealCF>25%,TWh_<15%_2030_100m_ALLTIMESLICESAVERAGE_V112,TWh_15%-20%_2030_100m_ALLTIMESLICESAVERAGE_V112,TWh_20%-25%_2030_100m_ALLTIMESLICESAVERAGE_V112,TWh_Morethan25%_2030_100m_ALLTIMESLICESAVERAGE_V112,TWH_>20%,CountryElec_TWh,RatioCons,Turbines_TOT
324,EZBE,Belgium,BE,Reference,Offshore,Water depth 0-30m,,3466,341,0.085,0.0,0.0,0.0,1.7,11311117,0.53,0.00,0.00,0.00,1.00,0.085,0.498,0.469,0.469,,,,0.469,0.0,0.0,0.0,7.0,7.0,81.8,0.07,171
324,EZBE,Belgium,BE,Reference,Offshore,Water depth 30-60m,,3466,29,0.022,0.0,0.0,0.0,0.1,11311117,0.14,0.00,0.00,0.00,1.00,0.022,0.498,0.469,0.469,,,,0.469,0.0,0.0,0.0,0.6,0.6,81.8,0.02,15
324,EZBE,Belgium,BE,Reference,Offshore,Water depth 60-100m Floating,,3466,0,0.000,0.0,0.0,0.0,0.0,11311117,0.00,0.00,0.00,0.00,1.00,0.000,0.498,0.469,0.469,,,,0.469,0.0,0.0,0.0,0.0,0.0,81.8,0.00,0
341,EZBG,Bulgaria,BG,Reference,Offshore,Water depth 0-30m,,34972,2,0.001,0.0,0.0,0.0,0.0,7153784,0.07,0.00,0.00,0.00,1.00,0.001,0.361,0.337,0.337,,,,0.337,0.0,0.0,0.0,0.0,0.0,28.9,0.02,1
341,EZBG,Bulgaria,BG,Reference,Offshore,Water depth 30-60m,,34972,87,0.002,0.0,0.0,0.0,0.4,7153784,0.11,0.00,0.00,0.00,1.00,0.002,0.361,0.337,0.337,,,,0.337,0.0,0.0,0.0,1.3,1.3,28.9,0.03,44
341,EZBG,Bulgaria,BG,Reference,Offshore,Water depth 60-100m Floating,,34972,0,0.000,0.0,0.0,0.0,0.0,7153784,0.00,0.00,0.00,0.00,1.00,0.000,0.361,0.337,0.337,,,,0.337,0.0,0.0,0.0,0.0,0.0,28.9,0.00,0
335,EZHR,Croatia,HR,Reference,Offshore,Water depth 0-30m,,55162,2,0.005,0.0,0.0,0.0,0.0,4190669,0.60,0.00,0.00,0.62,0.38,0.005,0.288,0.244,0.244,,,0.225,0.275,0.0,0.0,0.0,0.0,0.0,15.3,0.16,1
335,EZHR,Croatia,HR,Reference,Offshore,Water depth 30-60m,,55162,1092,0.015,0.0,0.0,3.4,2.1,4190669,2.19,0.00,0.00,0.62,0.38,0.015,0.288,0.244,0.244,,,0.225,0.275,0.0,0.0,6.7,5.0,11.7,15.3,0.60,546
335,EZHR,Croatia,HR,Reference,Offshore,Water depth 60-100m Floating,,55162,0,0.000,0.0,0.0,0.0,0.0,4190669,0.00,0.00,0.00,0.62,0.38,0.000,0.288,0.244,0.244,,,0.225,0.275,0.0,0.0,0.0,0.0,0.0,15.3,0.00,0
344,EZCY,Cyprus,CY,Reference,Offshore,Water depth 0-30m,,97932,0,0.000,0.0,0.0,0.0,0.0,848319,0.00,0.00,0.39,0.48,0.13,0.000,0.254,0.231,0.210,,0.175,0.225,0.254,0.0,0.0,0.0,0.0,0.0,4.4,0.00,0
344,EZCY,Cyprus,CY,Reference,Offshore,Water depth 30-60m,,97932,0,0.000,0.0,0.0,0.0,0.0,848319,0.00,0.00,0.39,0.48,0.13,0.000,0.254,0.231,0.210,,0.175,0.225,0.254,0.0,0.0,0.0,0.0,0.0,4.4,0.00,0
344,EZCY,Cyprus,CY,Reference,Offshore,Water depth 60-100m Floating,,97932,0,0.000,0.0,0.0,0.0,0.0,848319,0.00,0.00,0.39,0.48,0.13,0.000,0.254,0.231,0.210,,0.175,0.225,0.254,0.0,0.0,0.0,0.0,0.0,4.4,0.00,0
327,EZDK,Denmark,DK,Reference,Offshore,Water depth 0-30m,,100315,996,0.030,0.0,0.0,0.0,5.0,5707251,11.05,0.00,0.00,0.00,1.00,0.030,0.525,0.471,0.471,,,,0.471,0.0,0.0,0.0,20.5,20.5,31.2,2.02,498
327,EZDK,Denmark,DK,Reference,Offshore,Water depth 30-60m,,100315,4466,0.024,0.0,0.0,0.0,22.3,5707251,8.68,0.00,0.00,0.00,1.00,0.024,0.525,0.471,0.471,,,,0.471,0.0,0.0,0.0,92.1,92.1,31.2,1.59,2233
327,EZDK,Denmark,DK,Reference,Offshore,Water depth 60-100m Floating,,100315,0,0.000,0.0,0.0,0.0,0.0,5707251,0.00,0.00,0.00,0.00,1.00,0.000,0.525,0.471,0.471,,,,0.471,0.0,0.0,0.0,0.0,0.0,31.2,0.00,0
333,EZEE,Estonia,EE,Reference,Offshore,Water depth 0-30m,,36215,16,0.005,0.0,0.0,0.0,0.1,1315944,2.55,0.00,0.00,0.00,1.00,0.005,0.487,0.458,0.458,,,,0.458,0.0,0.0,0.0,0.3,0.3,7.3,0.46,8
