id,name,permitID,country_code,NACE number,NACE name,Latitude,Longitude,Emission rank 2023,EU,EIGL sector,Industry,Emissions 2023 (Mt),Emissions 2022 (Mt),x,y
IT_575,Sarlux Srl,IT-A-841,IT,1920.0,Refineries & petrochemical industry,39.0899,9.0111,17,Y,Refining,Y,5.603437,6.104895,1003111.0634872738,4734557.169401064
IT_515,Stabilimento di Taranto,IT-A-762,IT,2410.0,Iron & steel,40.5108,17.2152,24,Y,Iron & steel,Y,4.351958,4.703125,1916387.297904367,4940450.367081318
IT_511,ADI Energia S.r.l.,IT-A-758,IT,3511.0,Production of electricity,40.5108,17.2152,40,Y,Production of electricity,N,3.515575,3.745729,1916387.297904367,4940450.367081318
IT_439,CENTRALE TERMOELETTRICA DI TORREVALDALIGA NORD,IT-A-667,IT,3511.0,Production of electricity,42.1275,11.7586,44,Y,Production of electricity,N,3.339651,5.379086,1308961.3644417932,5180097.500981578
IT_521,CENTRALE TERMOELETTRICA DI  BRINDISI SUD,IT-A-769,IT,3511.0,Production of electricity,40.5638,18.0321,47,Y,Production of electricity,N,3.253144,7.353276,2007324.189933396,4948213.611077839
IT_517,EniPower S.p.A. - Stabilimento di Brindisi,IT-A-764,IT,3511.0,Production of electricity,40.6411,17.9919,84,Y,Production of electricity,N,2.297327,2.428705,2002849.146403504,4959547.258960319
IT_649,Centrale termoelettrica di fiumesanto,IT-A-980,IT,3511.0,Production of electricity,40.760485,8.47218364,86,Y,Production of electricity,N,2.276654,2.943816,943119.1688232304,4977077.188486889
IT_179,EniPower S.p.A.- Stabilimento di Ferrera Erbognone,IT-A-222,IT,3511.0,Production of electricity,45.1002,8.8666,92,Y,Production of electricity,N,2.206441,2.551047,987025.3970676464,5637309.7429499505
IT_37,Raffneria di Augusta,IT-A-42,IT,1920.0,Refineries & petrochemical industry,37.2216,15.1905,101,Y,Refining,Y,2.034384,2.02935,1690998.724895227,4470040.145947965
IT_197,EniPower Mantova,IT-A-241,IT,3511.0,Production of electricity,45.149,10.8354,114,Y,Production of electricity,N,1.844634,1.71902,1206191.210541442,5645009.0666520335
IT_355,EniPower S.p.A. - Stabilimento di Ravenna,IT-A-547,IT,3511.0,Production of electricity,44.4455,12.2329,117,Y,Production of electricity,N,1.802993,1.793923,1361760.1989250395,5534645.170075493
IT_541,Raffineria di Milazzo,IT-A-802,IT,1920.0,Refineries & petrochemical industry,38.2027,15.2723,119,Y,Refining,Y,1.754161,1.724827,1700104.6592421154,4608100.231066425
IT_561,IMPIANTO IGCC,IT-A-825,IT,3511.0,Production of electricity,37.1291,15.2022,122,Y,Production of electricity,N,1.738309,1.915412,1692301.1629375103,4457116.971891176
IT_275,CENTRALE TERMOELETTRICA DI  FUSINA,IT-A-343,IT,3511.0,Production of electricity,45.4313,12.2458,128,Y,Production of electricity,N,1.664829,2.872828,1363196.220356273,5689678.340956369
IT_180,RAFFINERIA DI SANNAZZARO,IT-A-223,IT,1920.0,Refineries & petrochemical industry,45.0997,8.8768,133,Y,Refining,Y,1.627808,1.63698,988160.8558737374,5637230.890508562
IT_1013,Simeri Crichi,IT-A-1510,IT,3511.0,Production of electricity,38.875,16.6566,145,Y,Production of electricity,N,1.497053,1.392859,1854204.2303472436,4703782.178660086
IT_538,CENTRALE TERMOELETTRICA DI TERMINI IMERESE,IT-A-799,IT,3511.0,Production of electricity,37.9691,13.7483,163,Y,Production of electricity,N,1.299505,1.327576,1530453.7552731663,4575061.598369947
IT_986,TORVISCOSA,IT-A-1476,IT,3511.0,Production of electricity,45.8169,13.2897,166,Y,Production of electricity,N,1.268838,1.663817,1479402.636795372,5751055.710060299
IT_586,Centrale di Tavazzano e Montanaso,IT-A-859,IT,3511.0,Production of electricity,45.3345,9.4359,169,Y,Production of electricity,N,1.2529,1.536227,1050399.5831762569,5674336.285841984
IT_573,CENTRALE TERMOELETTRICA DI SULCIS,IT-A-839,IT,3511.0,Production of electricity,39.1962,8.4008,174,Y,Production of electricity,N,1.239365,1.389885,935172.7782561394,4749814.632180058
IT_559,Raffineria Isab Impianti Sud,IT-A-823,IT,1920.0,Refineries & petrochemical industry,37.13556,15.21944,176,Y,Refining,Y,1.231081,1.266964,1694220.310958788,4458018.9848546
IT_1026,Centrale Termoelettrica di Livorno Ferraris,IT-A-1509,IT,3511.0,Production of electricity,45.2377,8.1927,177,Y,Production of electricity,N,1.226922,1.092716,912007.1922220588,5659020.432870804
IT_14,Centrale Termoelettrica di Moncalieri,IT-A-15,IT,3511.0,Production of electricity,44.9925,7.6763,184,Y,Production of electricity,N,1.185837,1.137974,854521.8071764087,5620340.841957732
IT_754,Società EniPower - Stabilimento di Ferrara,IT-A-1145,IT,3511.0,Production of electricity,44.8499,11.5833,204,Y,Production of electricity,N,1.073859,1.084656,1289447.057705733,5597922.184745465
IT_543,CENTRALE TERMOELETTRICA DI SAN FILIPPO DEL MELA,IT-A-804,IT,3511.0,Production of electricity,38.2019,15.2808,210,Y,Production of electricity,N,1.05029,1.838449,1701050.874913861,4607986.9045730755
IT_307,CENTRALE TERMOELETTRICA DI  LA CASELLA,IT-A-387,IT,3511.0,Production of electricity,45.0899,9.4794,215,Y,Production of electricity,N,1.042494,1.572812,1055241.9810257636,5635685.522035517
IT_200,Centrale Termoelettrica di Ostiglia,IT-A-244,IT,3511.0,Production of electricity,45.0593,11.1387,224,Y,Production of electricity,N,0.998588,1.576767,1239954.4120990394,5630861.893607482
IT_955,Altomonte,IT-A-780,IT,3511.0,Production of electricity,39.7111,16.2147,228,Y,Production of electricity,N,0.986324,1.143418,1805012.1473656984,4824048.504483228
IT_216980,48643,0,IT,5100.0,Domestic aviation,,,232,Y,No EIGL,N,0.974066,0.796366,,
IT_200935,590,0,IT,5100.0,Domestic aviation,,,240,Y,No EIGL,N,0.963645,0.841024,,
IT_132,TURBIGO,IT-A-159,IT,3511.0,Production of electricity,45.5212,8.739,242,Y,Production of electricity,N,0.954808,0.664416,972821.0300424214,5703950.383232264
IT_46,S.A.R.P.O.M S.R.L.,IT-A-54,IT,1920.0,Refineries & petrochemical industry,45.4372,8.7858,245,Y,Refining,Y,0.947337,1.019083,978030.7822115486,5690614.295707317
IT_562,ERG Power,IT-A-826,IT,3511.0,Production of electricity,37.1291,15.2022,271,Y,Production of electricity,N,0.882512,0.93893,1692301.1629375103,4457116.971891176
IT_182,VOGHERA ENERGIA S.p.A.,IT-A-225,IT,3511.0,Production of electricity,45.0286,8.9733,272,Y,Production of electricity,N,0.879915,0.954329,998903.1867352874,5626025.09515476
IT_1010,Centrale Termoelettrica Leinì,IT-A-1511,IT,3511.0,Production of electricity,45.1622,7.7516,277,Y,Production of electricity,N,0.872393,0.806398,862904.1648331452,5647092.80305724
IT_358,CENTRALE TERMOELETTRICA DI  PORTO CORSINI,IT-A-551,IT,3511.0,Production of electricity,44.4844,12.2661,278,Y,Production of electricity,N,0.872178,1.138841,1365456.0060193783,5540712.782964046
IT_173,Italcementi-Cementeria di Rezzato,IT-A-211,IT,2351.0,Non-metallic minerals,45.5153,10.3444,306,Y,Cement,Y,0.808186,0.898887,1151533.3405619464,5703013.032255839
IT_560,Stabilimento Versalis di Priolo,IT-A-824,IT,2014.0,Chemical & petrochemical,37.1291,15.2022,313,Y,Chemicals,Y,0.799942,0.809898,1692301.1629375103,4457116.971891176
IT_270,MARGHERA LEVANTE,IT-A-338,IT,3511.0,Production of electricity,45.4458,12.2549,340,Y,Production of electricity,N,0.753219,0.859371,1364209.227722497,5691978.744036596
IT_416,CENTRALE TERMOELETTRICA DI SANTA BARBARA,IT-A-630,IT,3511.0,Production of electricity,43.5643,11.4777,357,Y,Production of electricity,N,0.725552,0.534071,1277691.7194779592,5398262.324872908
IT_752,Nuova Rosen,IT-A-1141,IT,3510.0,Production of electricity,43.3816,10.4494,358,Y,Production of electricity,N,0.725498,0.773396,1163221.8870952358,5370236.810853592
IT_139,Italcementi-Cementeria di Calusco d'Adda,IT-A-167,IT,2351.0,Non-metallic minerals,45.6866082,9.4684059,359,Y,Cement,Y,0.722839,0.735396,1054018.1234120328,5730269.409277311
IT_912,Impianto di produzione ammoniaca e urea,IT-A-1358,IT,2015.0,Chemical & petrochemical,44.856,11.5921,373,Y,Fertilizers,Y,0.702117,0.417926,1290426.6692247146,5598880.049692635
IT_63,Cementeria di Robilante,IT-A-76,IT,2351.0,Non-metallic minerals,44.2833,7.5,375,Y,Cement,Y,0.700973,0.797427,834896.180949558,5509388.693095559
IT_583,SESTO CAMPANO,IT-A-850,IT,2351.0,Non-metallic minerals,41.4456,14.0658,381,Y,Cement,Y,0.689345,0.662398,1565797.69360003,5078291.41023895
IT_1165,Centrale Termoelettrica di San Severo,IT-A-1621,IT,3511.0,Production of electricity,41.6578,15.4237,382,Y,Production of electricity,N,0.684417,0.889961,1716958.4301482197,5109856.578391157
IT_963,Centrale Termoelettrica Roselectra,IT-A-1475,IT,3511.0,Production of electricity,43.3816,10.4494,387,Y,Production of electricity,N,0.676725,0.918567,1163221.8870952358,5370236.810853592
IT_620,Centro Olio Val D’Agri,IT-A-920,IT,610.0,Energy sector,40.3136,15.8972,389,Y,No EIGL,N,0.669683,0.71063,1769668.2090388346,4911618.975061709
IT_512,Raffineria di Taranto,IT-A-759,IT,1920.0,Refineries & petrochemical industry,40.4892,17.193,393,Y,Refining,Y,0.66292,0.689916,1913916.0052087568,4937288.239027451
IT_1246,Centrale termoelettrica Torino Nord,IT-A-1690,IT,3500.0,Production of electricity,45.103,7.6105,399,Y,Production of electricity,N,0.654812,0.811827,847196.9846822149,5637751.329383268
IT_202,CENTRALE TERMOELETTRICA SERMIDE,IT-A-247,IT,3511.0,Production of electricity,45.0297,11.2511,468,Y,Production of electricity,N,0.546275,0.761288,1252466.7228642076,5626198.355812883
IT_965,Calenia Energia,IT-A-1474,IT,3511.0,Production of electricity,41.1774,14.1129,486,Y,Production of electricity,N,0.522624,0.926577,1571040.8416163933,5038543.442095648
IT_6,CENTRALE TERMOELETTRICA DI CHIVASSO,IT-A-7,IT,3511.0,Production of electricity,45.1854,7.9005,494,Y,Production of electricity,N,0.513299,1.122828,879479.6370122604,5650756.297930956
IT_202272,Impianto Idrogeno 2 RAM,IT-A-2049,IT,2011.0,Chemical & petrochemical,38.1977,15.268,506,Y,Chemicals,Y,0.500243,0.46987,1699625.985431704,4607391.960911761
IT_558,RAFFINERIA ISAB IMPIANTI NORD,IT-A-822,IT,1920.0,Refineries & petrochemical industry,37.1291,15.2022,509,Y,Refining,Y,0.49658,0.535059,1692301.1629375103,4457116.971891176
IT_94,CARAVATE,IT-A-115,IT,2351.0,Non-metallic minerals,45.8861697,8.6673761,512,Y,Cement,Y,0.494523,0.520397,964847.893965797,5762126.561246
IT_315,Cementeria di Vernasca,IT-A-395,IT,2351.0,Non-metallic minerals,44.7667,9.8,515,Y,Cement,Y,0.488155,0.473012,1090931.0097740886,5584867.648791643
IT_1115,CENTRALE TURBOGAS A CICLO COMBINATO DI SCANDALE,IT-A-1524,IT,3511.0,Production of electricity,41.90976293,12.45242668,518,Y,Production of electricity,N,0.486892,0.520243,1386197.7971581777,5147471.938087833
IT_428,Stabilimento di Gubbio,IT-A-649,IT,2351.0,Non-metallic minerals,43.3636,12.5467,522,Y,Cement,Y,0.482587,0.498444,1396692.2551359704,5367480.25269268
IT_97,UNITA' PRODUTTIVA DI TERNATE,IT-A-118,IT,2351.0,Non-metallic minerals,45.7819104,8.6816378,528,Y,Cement,Y,0.475942,0.502374,966435.4991476396,5745468.822466591
IT_1166,Centrale a ciclo combinato di Turano Lodigiano,IT-A-1656,IT,3511.0,Production of electricity,45.48212642,9.19579058,529,Y,Production of electricity,N,0.474171,1.024162,1023670.725252467,5697744.473277702
IT_654,CENTRALE TERMOELETTRICA DI CASSANO D'ADDA,IT-A-986,IT,3511.0,Production of electricity,45.5119,9.5102,535,Y,Production of electricity,N,0.463159,0.937515,1058670.6213421964,5702472.908530771
