"aidres_sector_id","configuration_id","route_id","sector_id","product_id","route_name","abbreviation","description","mix_2018","mix_2030","mix_2040","mix_2050"
"2","0","61","cement","cement","EU-mix-2018","AC/CF/CGM/DPK/RMDR","Air cooling,Combustion Furnace,Cement grinding mill,Dry process kilns,Raw mill double rotator","1","0","0","0"
"2","1","1","cement","cement","CEM1-(Coal)","DPK/RMDR/CGM/CF","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace","0","0","0","0"
"2","2","2","cement","cement","CEM1-(Coal)MEA","DPK/RMDR/CGM/CF/CM-MEA","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Monoethanolamine Carbon Capture","0","0","0","0"
"2","3","3","cement","cement","CEM1-(Coal)CaL","DPK/RMDR/CGM/CF/CaL","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Calcium looping","0","0","0","0"
"2","4","4","cement","cement","CEM1-(Coal)Oxy-MEA","DPK/RMDR/CGM/CF/ASU/CM-MEA","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Cryogenic air separation unit,Monoethanolamine Carbon Capture","0","0","0","0"
"2","5","5","cement","cement","CEM1-(Coal)Oxy-CaL","DPK/RMDR/CGM/CF/ASU/CaL","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Cryogenic air separation unit,Calcium looping","0","0","0","0"
"2","6","6","cement","cement","CEM1-(NG)","DPK/RMDR/CGM/CF","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace","0","0","0","0"
"2","7","7","cement","cement","CEM1-(NG)MEA","DPK/RMDR/CGM/CF/CM-MEA","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Monoethanolamine Carbon Capture","0","0","0","0"
"2","8","8","cement","cement","CEM1-(NG)CaL","DPK/RMDR/CGM/CF/CaL","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Calcium looping","0","0","0","0"
"2","9","9","cement","cement","CEM1-(NG)Oxy-MEA","DPK/RMDR/CGM/CF/ASU/CM-MEA","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Cryogenic air separation unit,Monoethanolamine Carbon Capture","0","0","0","0"
"2","10","10","cement","cement","CEM1-(NG)Oxy-CaL","DPK/RMDR/CGM/CF/ASU/CaL","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Cryogenic air separation unit,Calcium looping","0","0","0","0"
"2","11","11","cement","cement","CEM1-(Afm)","DPK/RMDR/CGM/CF/AC","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Air cooling","0","0","0","0"
"2","12","12","cement","cement","CEM1-(Afm)MEA","DPK/RMDR/CGM/CF/CM-MEA","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Monoethanolamine Carbon Capture","0","0","0","0"
"2","13","13","cement","cement","CEM1-(Afm)CaL","DPK/RMDR/CGM/CF/CaL/AC","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Calcium looping,Air cooling","0","0","0","0"
"2","14","14","cement","cement","CEM1-(Afm)Oxy-MEA","DPK/RMDR/CGM/CF/ASU/CM-MEA","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Cryogenic air separation unit,Monoethanolamine Carbon Capture","0","0","0","0"
"2","15","15","cement","cement","CEM1-(Afm)Oxy-CaL","DPK/RMDR/CGM/CF/ASU/CaL/AC","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Cryogenic air separation unit,Calcium looping,Air cooling","0","0","0","0"
"2","16","16","cement","cement","CEM1-(BMW)","DPK/RMDR/CGM/CF/AC","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Air cooling","0","0","0","0"
"2","17","17","cement","cement","CEM1-(BMW)MEA","DPK/RMDR/CGM/CF/CM-MEA","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Monoethanolamine Carbon Capture","0","0","0","0"
"2","18","18","cement","cement","CEM1-(BMW)CaL","DPK/RMDR/CGM/CF/CaL/AC","Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Calcium looping,Air cooling","0","0","0","0"
