"solution_id","configuration_id","scenario_id","aidres_sector_id","horizon","electricity_[mwh/t]","electricity_[gj/t]","alternative_fuel_mixture_[gj/t]","biomass_[gj/t]","biomass_waste_[gj/t]","coal_[gj/t]","coke_[gj/t]","crude_oil_[gj/t]","hydrogen_[gj/t]","methanol_[gj/t]","ammonia_[gj/t]","naphtha_[gj/t]","natural_gas_[gj/t]","plastic_mix_[gj/t]","alternative_fuel_mixture_[t/t]","biomass_[t/t]","biomass_waste_[t/t]","coal_[t/t]","coke_[t/t]","crude_oil_[t/t]","hydrogen_[t/t]","methanol_[t/t]","ammonia_[t/t]","naphtha_[t/t]","natural_gas_[t/t]","plastic_mix_[t/t]","totex_[eur/t]","opex_var_[eur/t]","co2_allowance_[eur/t]","opex_cst_[eur/t]","opex_[eur/t]","capex_[eur/t]","direct_emission_[tco2/t]","total_emission_[tco2/t]","direct_emission_reduction_[%]","total_emission_reduction_[%]","captured_co2_[tco2/t]","product_name","configuration_name","sector_name"
"0","0","0","2","2018","0.08029","0.28905","0.739281","0","0.4434736","1.151172","0","0","0","0","0","0","0","0","0.020937","0","0.0343776","0.0390204","0","0","0","0","0","0","0","0","55.71166206","17.04941036","12.354864","23.3073877","52.71166206","3","0.49818","0.536074117","0","0","0","cement","EU-mix-2018","Cement"
"1","1","1","2","2030","0.09882","0.35576","0","0","0","2.89315","0","0","0","0","0","0","0","0","0","0","0","0.09807","0","0","0","0","0","0","0","0","158.7098771","19.27513339","106.65","29.7847437","155.7098771","3","0.711","0.771143441","-42.7","-43.9","0","cement","CEM1-(Coal)","Cement"
"2","1","2","2","2030","0.09882","0.35576","0","0","0","2.89315","0","0","0","0","0","0","0","0","0","0","0","0.09807","0","0","0","0","0","0","0","0","158.7098771","19.27513339","106.65","29.7847437","155.7098771","3","0.711","0.771143441","-42.7","-43.9","0","cement","CEM1-(Coal)","Cement"
"3","1","3","2","2030","0.09882","0.35576","0","0","0","2.89315","0","0","0","0","0","0","0","0","0","0","0","0.09807","0","0","0","0","0","0","0","0","158.7098771","19.27513339","106.65","29.7847437","155.7098771","3","0.711","0.771143441","-42.7","-43.9","0","cement","CEM1-(Coal)","Cement"
"4","1","4","2","2030","0.09882","0.35576","0","0","0","2.89315","0","0","0","0","0","0","0","0","0","0","0","0.09807","0","0","0","0","0","0","0","0","158.7098771","19.27513339","106.65","29.7847437","155.7098771","3","0.711","0.771143441","-42.7","-43.9","0","cement","CEM1-(Coal)","Cement"
"5","1","5","2","2050","0.09882","0.35576","0","0","0","2.89315","0","0","0","0","0","0","0","0","0","0","0","0.09807","0","0","0","0","0","0","0","0","300.9098771","19.27513339","248.85","29.7847437","297.9098771","3","0.711","0.759284764","-42.7","-41.6","0","cement","CEM1-(Coal)","Cement"
"6","1","6","2","2050","0.09882","0.35576","0","0","0","2.89315","0","0","0","0","0","0","0","0","0","0","0","0.09807","0","0","0","0","0","0","0","0","300.9098771","19.27513339","248.85","29.7847437","297.9098771","3","0.711","0.759284764","-42.7","-41.6","0","cement","CEM1-(Coal)","Cement"
"7","1","7","2","2050","0.09882","0.35576","0","0","0","2.89315","0","0","0","0","0","0","0","0","0","0","0","0.09807","0","0","0","0","0","0","0","0","300.9098771","19.27513339","248.85","29.7847437","297.9098771","3","0.711","0.759284764","-42.7","-41.6","0","cement","CEM1-(Coal)","Cement"
"8","1","8","2","2050","0.09882","0.35576","0","0","0","2.89315","0","0","0","0","0","0","0","0","0","0","0","0.09807","0","0","0","0","0","0","0","0","300.9098771","19.27513339","248.85","29.7847437","297.9098771","3","0.711","0.759284764","-42.7","-41.6","0","cement","CEM1-(Coal)","Cement"
"9","2","1","2","2030","0.22517","0.81059","0","0","0","5.44483","0","0","0","0","0","0","0","0","0","0","0","0.18457","0","0","0","0","0","0","0","0","102.7426426","39.0578989","27.9","29.7847437","96.7426426","6","0.186","0.303892728","62.7","43.3","0.743","cement","CEM1-(Coal)MEA","Cement"
"10","2","2","2","2030","0.22517","0.81059","0","0","0","5.44483","0","0","0","0","0","0","0","0","0","0","0","0.18457","0","0","0","0","0","0","0","0","102.7426426","39.0578989","27.9","29.7847437","96.7426426","6","0.186","0.303892728","62.7","43.3","0.743","cement","CEM1-(Coal)MEA","Cement"
"11","2","3","2","2030","0.22517","0.81059","0","0","0","5.44483","0","0","0","0","0","0","0","0","0","0","0","0.18457","0","0","0","0","0","0","0","0","102.7426426","39.0578989","27.9","29.7847437","96.7426426","6","0.186","0.303892728","62.7","43.3","0.743","cement","CEM1-(Coal)MEA","Cement"
"12","2","4","2","2030","0.22517","0.81059","0","0","0","5.44483","0","0","0","0","0","0","0","0","0","0","0","0.18457","0","0","0","0","0","0","0","0","102.7426426","39.0578989","27.9","29.7847437","96.7426426","6","0.186","0.303892728","62.7","43.3","0.743","cement","CEM1-(Coal)MEA","Cement"
"13","2","5","2","2050","0.22517","0.81059","0","0","0","5.44483","0","0","0","0","0","0","0","0","0","0","0","0.18457","0","0","0","0","0","0","0","0","139.9426426","39.0578989","65.1","29.7847437","133.9426426","6","0.186","0.27687304","62.7","48.4","0.743","cement","CEM1-(Coal)MEA","Cement"
"14","2","6","2","2050","0.22517","0.81059","0","0","0","5.44483","0","0","0","0","0","0","0","0","0","0","0","0.18457","0","0","0","0","0","0","0","0","139.9426426","39.0578989","65.1","29.7847437","133.9426426","6","0.186","0.27687304","62.7","48.4","0.743","cement","CEM1-(Coal)MEA","Cement"
"15","2","7","2","2050","0.22517","0.81059","0","0","0","5.44483","0","0","0","0","0","0","0","0","0","0","0","0.18457","0","0","0","0","0","0","0","0","139.9426426","39.0578989","65.1","29.7847437","133.9426426","6","0.186","0.27687304","62.7","48.4","0.743","cement","CEM1-(Coal)MEA","Cement"
"16","2","8","2","2050","0.22517","0.81059","0","0","0","5.44483","0","0","0","0","0","0","0","0","0","0","0","0.18457","0","0","0","0","0","0","0","0","139.9426426","39.0578989","65.1","29.7847437","133.9426426","6","0.186","0.27687304","62.7","48.4","0.743","cement","CEM1-(Coal)MEA","Cement"
"17","3","1","2","2030","0.16721","0.60194","0","0","0","2.89315","0","0","0","0","0","0","0","0","0","0","0","0.09807","0","0","0","0","0","0","0","0","109.7390576","24.13035394","17.4","39.2087037","80.73905764","29","0.116","0.184349447","76.7","65.6","0.595","cement","CEM1-(Coal)CaL","Cement"
"18","3","2","2","2030","0.16721","0.60194","0","0","0","2.89315","0","0","0","0","0","0","0","0","0","0","0","0.09807","0","0","0","0","0","0","0","0","109.7390576","24.13035394","17.4","39.2087037","80.73905764","29","0.116","0.184349447","76.7","65.6","0.595","cement","CEM1-(Coal)CaL","Cement"
"19","3","3","2","2030","0.16721","0.60194","0","0","0","2.89315","0","0","0","0","0","0","0","0","0","0","0","0.09807","0","0","0","0","0","0","0","0","109.7390576","24.13035394","17.4","39.2087037","80.73905764","29","0.116","0.184349447","76.7","65.6","0.595","cement","CEM1-(Coal)CaL","Cement"
