selected,configuration_id,solution_id,scenario_id,aidres_sector_id,horizon,electricity_[mwh/t],electricity_[gj/t],alternative_fuel_mixture_[gj/t],biomass_[gj/t],biomass_waste_[gj/t],coal_[gj/t],coke_[gj/t],crude_oil_[gj/t],hydrogen_[gj/t],methanol_[gj/t],ammonia_[gj/t],naphtha_[gj/t],natural_gas_[gj/t],plastic_mix_[gj/t],alternative_fuel_mixture_[t/t],biomass_[t/t],biomass_waste_[t/t],coal_[t/t],coke_[t/t],crude_oil_[t/t],hydrogen_[t/t],methanol_[t/t],ammonia_[t/t],naphtha_[t/t],natural_gas_[t/t],plastic_mix_[t/t],totex_[eur/t],opex_var_[eur/t],co2_allowance_[eur/t],opex_cst_[eur/t],opex_[eur/t],capex_[eur/t],direct_emission_[tco2/t],total_emission_[tco2/t],direct_emission_reduction_[%],total_emission_reduction_[%],captured_co2_[tco2/t],product_name,configuration_name,sector_name,energy_feedstock,technology_category,hydrogen_source,route_name,route_weight
True,32,251,1,2,2030,0.168,0.6048,3.8598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.50360124,12.84621354,19.35,23.3073877,55.50360124,5.0,0.129,0.149990772,74.1,72.0,0.516,cement,CEM2-(Afm)MEA,Cement,(Afm),CCS,-,CEM2-(Afm)MEA,18.75
True,33,259,1,2,2030,0.13178,0.4744,2.46427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.55751341,9.942465707,13.2,30.4150477,53.55751341,22.0,0.088,0.10434375,82.3,80.5,0.448,cement,CEM2-(Afm)CaL,Cement,(Afm),-,-,CEM2-(Afm)CaL,18.75
True,37,292,1,2,2030,0.19083,0.687,0.0,0.0,4.47081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.41105521,33.30366751,-46.2,23.3073877,10.41105521,5.0,-0.308,-0.285099982,161.8,153.2,0.65,cement,CEM2-(BMW)MEA,Cement,(BMW),CCS,-,CEM2-(BMW)MEA,18.75
True,38,300,1,2,2030,0.14125,0.50849,0.0,0.0,2.77171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8390785,22.2755808,-28.2,31.7634977,25.8390785,25.0,-0.188,-0.17105032,137.7,131.9,0.53,cement,CEM2-(BMW)CaL,Cement,(BMW),-,-,CEM2-(BMW)CaL,18.75
True,47,372,1,2,2030,0.13866,0.49917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06098,0.0,71.55103855,30.57823835,12.3,24.6728002,67.55103855,4.0,0.082,0.120035974,83.5,77.6,0.329,cement,LC3-(NG)MEA,Cement,(NG),CCS,-,LC3-(NG)MEA,6.25
True,48,380,1,2,2030,0.11606,0.41782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03755,0.0,73.86142256,21.00827236,8.55,29.3031502,58.86142256,15.0,0.057,0.084103845,88.6,84.3,0.291,cement,LC3-(NG)CaL,Cement,(NG),-,-,LC3-(NG)CaL,6.25
True,52,412,1,2,2030,0.1492,0.53711,3.12214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.70853945,11.33573925,14.7,24.6728002,50.70853945,4.0,0.098,0.116575673,80.3,78.3,0.391,cement,LC3-(Afm)MEA,Cement,(Afm),CCS,-,LC3-(Afm)MEA,6.25
True,53,420,1,2,2030,0.12222,0.43999,2.13048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.3817497,9.184359498,10.05,30.1473902,49.3817497,17.0,0.067,0.082124853,86.6,84.7,0.344,cement,LC3-(Afm)CaL,Cement,(Afm),-,-,LC3-(Afm)CaL,6.25
True,66,509,1,6,2030,0.13675,0.4923,0.0,0.0,0.0,0.0,0.0,0.0,0.31332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00261,0.0,0.0,0.0,0.0,0.0,1004.537258,17.53925777,0.0,949.998,967.5372578,37.0,0.0,0.016410013,100.0,67.2,0.0,chemical-PE,(H2)PE,Chemical,(H2),-,-,(H2)PE,50.0
True,68,525,1,6,2030,0.20795,0.74863,0.0,0.0,0.0,0.0,0.0,0.0,0.00597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,1001.912659,14.91465903,0.0,949.998,964.912659,37.0,0.0,0.024954353,100.0,50.1,0.0,chemical-PE,(EL)PE,Chemical,(EL),- Electrification,-,(EL)PE,50.0
