selected,configuration_id,solution_id,scenario_id,aidres_sector_id,horizon,electricity_[mwh/t],electricity_[gj/t],alternative_fuel_mixture_[gj/t],biomass_[gj/t],biomass_waste_[gj/t],coal_[gj/t],coke_[gj/t],crude_oil_[gj/t],hydrogen_[gj/t],methanol_[gj/t],ammonia_[gj/t],naphtha_[gj/t],natural_gas_[gj/t],plastic_mix_[gj/t],alternative_fuel_mixture_[t/t],biomass_[t/t],biomass_waste_[t/t],coal_[t/t],coke_[t/t],crude_oil_[t/t],hydrogen_[t/t],methanol_[t/t],ammonia_[t/t],naphtha_[t/t],natural_gas_[t/t],plastic_mix_[t/t],totex_[eur/t],opex_var_[eur/t],co2_allowance_[eur/t],opex_cst_[eur/t],opex_[eur/t],capex_[eur/t],direct_emission_[tco2/t],total_emission_[tco2/t],direct_emission_reduction_[%],total_emission_reduction_[%],captured_co2_[tco2/t],product_name,configuration_name,sector_name,energy_feedstock,technology_category,hydrogen_source,route_name,route_weight
True,64,492,0,6,2018,0.13675,0.4923,0.0,0.0,0.0,0.0,0.0,0.0,0.00597,0.0,0.0,0.0,0.29048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,0.0,0.0,0.00593,0.0,1006.547374,19.15257414,0.3968,949.998,969.5473741,37.0,0.016,0.050040025,0.0,0.0,0.0,chemical-PE,(NG)PE,Chemical,(NG),-,-,(NG)PE,7.0
True,65,501,1,6,2030,0.13937,0.50172,0.0,0.0,0.0,0.0,0.0,0.0,0.00597,0.0,0.0,0.0,0.30438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,0.0,0.0,0.00622,0.0,999.4567929,12.15879294,0.3,949.998,962.4567929,37.0,0.002,0.020905405,87.5,58.2,0.015,chemical-PE,(NG)PE-MEA,Chemical,(NG),CCS,-,(NG)PE-MEA,56.0
True,66,509,1,6,2030,0.13675,0.4923,0.0,0.0,0.0,0.0,0.0,0.0,0.31332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00261,0.0,0.0,0.0,0.0,0.0,1004.537258,17.53925777,0.0,949.998,967.5372578,37.0,0.0,0.016410013,100.0,67.2,0.0,chemical-PE,(H2)PE,Chemical,(H2),-,-,(H2)PE,4.5
True,67,517,1,6,2030,0.26743,0.96275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.985585,18.98758463,0.0,949.998,968.9855846,38.0,0.0,0.032091692,100.0,35.9,0.0,chemical-PE,(H2)PE-AEL,Chemical,(H2),-,alkaline electrolyser,(H2)PE-AEL,28.0
True,68,525,1,6,2030,0.20795,0.74863,0.0,0.0,0.0,0.0,0.0,0.0,0.00597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,1001.912659,14.91465903,0.0,949.998,964.912659,37.0,0.0,0.024954353,100.0,50.1,0.0,chemical-PE,(EL)PE,Chemical,(EL),- Electrification,-,(EL)PE,4.5
True,73,542,0,6,2018,0.36,1.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.16321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16673,0.0,1219.250854,100.3285036,11.3832,995.53915,1107.250854,112.0,0.459,0.600555118,0.0,0.0,0.0,chemical-PEA,(NG)PEA,Chemical,(NG),-,-,(NG)PEA,7.0
True,74,551,1,6,2030,0.43528,1.56701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17892,0.0,1214.626365,91.73721506,7.35,995.53915,1094.626365,120.0,0.049,0.164012612,89.3,72.7,0.443,chemical-PEA,(NG)PEA-MEA,Chemical,(NG),CCS,-,(NG)PEA-MEA,56.0
True,75,559,1,6,2030,0.36,1.296,0.0,0.0,0.0,0.0,0.0,0.0,8.63968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07207,0.0,0.0,0.0,0.0,0.0,1352.30917,241.7700204,0.0,995.53915,1237.30917,115.0,0.0,0.043200035,100.0,92.8,0.0,chemical-PEA,(H2)PEA,Chemical,(H2),-,-,(H2)PEA,4.5
True,76,567,1,6,2030,3.96347,14.26849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.945706,281.4065557,0.0,995.53915,1276.945706,137.0,0.0,0.475616714,100.0,20.8,0.0,chemical-PEA,(H2)PEA-AEL,Chemical,(H2),-,alkaline electrolyser,(H2)PEA-AEL,28.0
True,77,575,1,6,2030,2.37195,8.53901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1274.947538,168.4083875,0.0,995.53915,1163.947538,111.0,0.0,0.284633894,100.0,52.6,0.0,chemical-PEA,(EL)PEA,Chemical,(EL),- Electrification,-,(EL)PEA,4.5
