"id","aidres_site_id","geom","site_name","nuts3_code","aidres_sector_name","production_route_name","product_type_name","method_type_name","prod_cap","prod_rate","utilization_rate","wp1_model_product_name"
"1",1,"0101000020E6100000AB2BFA9EEC3D2B4071E7C2482FDB4740","Calmit GmbH - Bad Ischl","AT315","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"2",8,"0101000020E6100000C39B06FB65462540421BCA9AA2C64740","Schretter & Cie GmbH & Co KG - Vils","AT331","Cement","Cement",NULL,"emission factor",NULL,"330.05275574999996",NULL,"cement"
"3",9,"0101000020E610000001005BB972152A40AC6B64B213DD4740","Zementwerk Leube Gesellschaft m.b.H. - St. Leonhard","AT323","Cement","Cement",NULL,"emission factor",NULL,"478.2881936",NULL,"cement"
"4",11,"0101000020E6100000E08442041C522C40107A36AB3EE74740","voestalpine Stahl GmbH - Linz","AT314","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"5",18,"0101000020E61000006327BC04A73A2E40AA12CB773ABC4740","Styromagnesit Steirische Magnesitindustrie GmbH - St. Katharein","AT223","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"6",19,"0101000020E61000003FC4AB51B45B2A40B924C8ADEEC94740","Zementwerk Leube Gesellschaft m.b.H. - Golling","AT323","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"7",25,"0101000020E610000090F7AA95097F2C40B22E6EA301F44740","Bernegger GmbH - Molln","AT314","Cement","Cement_Other",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"8",26,"0101000020E6100000B30B06D7DC153040C3D7D7BAD4EF4740","Baumit GmbH - Waldegg","AT122","Cement","Cement",NULL,"emission factor",NULL,"449.0229585",NULL,"cement"
"9",26,"0101000020E6100000B30B06D7DC153040C3D7D7BAD4EF4740","Baumit GmbH - Waldegg","AT122","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"10",28,"0101000020E6100000944DB9C2BB8C2B4081183DB7D0F54740","Zementwerk Hatschek GmbH - Gmunden","AT315","Cement","Cement",NULL,"emission factor",NULL,"505.0912255",NULL,"cement"
"11",29,"0101000020E61000006C216D88966130403E4D1C2F93434840","Profibaustoffe Austria GmbH - Ernstbrunn","AT126","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"12",31,"0101000020E6100000014EEFE2FD102D400DA842F2846C4740","w&p Zement GmbH - Klein St. Paul","AT213","Cement","Cement",NULL,"emission factor",NULL,"673.7515518",NULL,"cement"
"13",32,"0101000020E6100000C94741A66BB02E404DAE1864819B4740","w&p Zement GmbH - Peggau","AT221","Cement","Cement",NULL,"emission factor",NULL,"0",NULL,"cement"
"14",33,"0101000020E6100000C94741A66BB02E404DAE1864819B4740","w&p Kalk GmbH - Peggau","AT221","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"15",34,"0101000020E6100000B9686DBF21252F4018B325AB225E4740","Lafarge Zementwerke GmbH - Retznei","AT225","Cement","Cement",NULL,"emission factor",NULL,"499.8248793",NULL,"cement"
"16",35,"0101000020E61000002E6E4848499A3040F401E7D6B5FD4740","Lafarge Zementwerke GmbH - Mannersdorf","AT127","Cement","Cement",NULL,"emission factor",NULL,"931.584808",NULL,"cement"
"17",37,"0101000020E610000070BB2B161A4329405692866412BC4740","Veitsch-Radex GmbH & Co OG - Hochfilzen","AT335","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"18",38,"0101000020E6100000D742AB9333E02E4064AA059BDFB14740","Veitsch-Radex GmbH & Co OG - Breitenau am Hochlantsch","AT223","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"19",39,"0101000020E6100000E3BE7A81FE3B2C40AA90477023F44740","Kirchdorfer Zementwerk Hofmann GmbH - Kirchdorf an der Krems","AT314","Cement","Cement",NULL,"emission factor",NULL,"346.038737",NULL,"cement"
"20",45,"0101000020E6100000B7BEFEDAB06C154063D75C7F5C484940","Carrières et fours à chaux Dumont Wautier - St Georges","BE334","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"21",61,"0101000020E6100000086C7308C1EF0B408354F0259E4C4940","COMPAGNIE DES CIMENTS BELGES, C.C.B. - Gaurain","BE328","Cement","Cement",NULL,"emission factor",NULL,"1859.937161",NULL,"cement"
"22",73,"0101000020E61000009D4022B770EA134030FBD060AE3D4940","Dolomies de Marche-les-Dames - Namêche","BE352","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"23",84,"0101000020E6100000946EA69DF5841240B605A051BA334940","Carmeuse - Aisemont","BE352","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"24",85,"0101000020E61000009B9EC1F05BDE1440F6CC429660464940","Carmeuse - Wanze","BE331","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"25",86,"0101000020E610000060788082E64E1440E8A397079F3F4940","Carmeuse - Seilles","BE352","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"26",92,"0101000020E6100000776110FD7FF10F401BB6DD5F983C4940","Holcim - Obourg","BE323","Cement","Cement",NULL,"emission factor",NULL,"1374.354646",NULL,"cement"
"27",93,"0101000020E6100000478E7406468E0B40A844C82F72494940","Cimenteries CBR Cementbedrijven - Antoing","BE328","Cement","Cement",NULL,"emission factor",NULL,"756.2343723",NULL,"cement"
"28",95,"0101000020E61000005D2BEB483FB31640AC90F2936A614940","Cimenteries CBR Cementbedrijven - Visé","BE332","Cement","Cement",NULL,"emission factor",NULL,"1547.5087",NULL,"cement"
"29",107,"0101000020E61000005C72DC291D0C15408718AF7955154940","Lhoist Industries - Marche-en-Famenne","BE351","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"30",110,"0101000020E6100000BB95CA80580B11402BF878D78FA24940","Saint Gobain Construction Products Belgium - Kallo","BE236","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"31",117,"0101000020E61000000591B6F12776374053C3D32B65A34540","Holcim Bulgaria S.A - Beli Izvor","BG313","Cement","Cement",NULL,"emission factor",NULL,"619.3606435",NULL,"cement"
"32",120,"0101000020E61000006905F7031E4C3B401834492C297B4540","SMA Mineral Burgas Var Ltd - Burgas","BG341","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"33",121,"0101000020E6100000ECC04FC1862638400E993CAFC28B4540","Zlatna Panega Cement AD - Zlatna Panega","BG315","Cement","Cement",NULL,"emission factor",NULL,"748.1350924",NULL,"cement"
"34",123,"0101000020E6100000ADC859D8D30E3A409ED2C1FA3FF34540","Tamara 2009 OOD - village Opiacvet","BG323","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"35",129,"0101000020E6100000C1E84DA0E3003740965588A29B774540","OGNYANOVO K AD  ,ZNHV Puklina - Golemo Malovo","BG412","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"36",130,"0101000020E6100000D9E2642CE4973B40479D6FFA699D4540","Devnya Cement - Devnia","BG331","Cement","Cement",NULL,"emission factor",NULL,"1092.219212",NULL,"cement"
"37",137,"0101000020E61000006905E165E1E038406BD6242EB6014540","Calcit J.S.C - Asenovgrad","BG421","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"38",139,"0101000020E61000002A3A92CB7FA84040EAC264AA605C4140","Vassiliko Cement Works Public Company Ltd - Larnaca","CY000","Cement","Cement",NULL,"emission factor",NULL,"1983.708325",NULL,"cement"
"39",160,"0101000020E610000052F557D988512B40AB48E06AF8A54840","HASIT Šumavské vápenice a omítkárny, s.r.o. - Horažďovice","CZ032","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"40",161,"0101000020E61000009A886D41A5F23040D74FFF59F3ED4840","VÁPENKA VITOŠOV s.r.o. - Zábřeh","CZ071","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"41",162,"0101000020E6100000F9A7AF4225152C4035D1E7A38C3E4940","Lafarge Cement, a.s. - Čížkovice","CZ042","Cement","Cement",NULL,"emission factor",NULL,"662.224986",NULL,"cement"
"42",163,"0101000020E6100000ED90AC0D5F183240C85240DAFFCA4840","LB Cemix, s.r.o. - Štramberk","CZ080","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"43",165,"0101000020E610000003907F0B571C2C4059FF4D3970F44840","Vápenka Čertovy schody a.s. - Tmaň","CZ020","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"44",171,"0101000020E61000009CC83D5DDDC3304098B6D4415E9B4840","Českomoravský cement, a.s. - Mokrá","CZ064","Cement","Cement",NULL,"emission factor",NULL,"1070.033747",NULL,"cement"
"45",172,"0101000020E61000004DF4F92823AE2C404A61DEE34CFF4840","Českomoravský cement, a.s. - Praha 5 - Radotín","CZ010","Cement","Cement",NULL,"emission factor",NULL,"747.5435011",NULL,"cement"
"46",174,"0101000020E6100000B39211610DC5304027FD18CE909B4840","CARMEUSE CZECH REPUBLIC s.r.o. - Mokrá","CZ064","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"47",176,"0101000020E61000003C9C65BBE7412F40DDAA35DE67F24840","CEMEX Czech Republic, s.r.o. - Prachovice","CZ053","Cement","Cement",NULL,"emission factor",NULL,"887.0912229",NULL,"cement"
"48",183,"0101000020E6100000ACC1A0F1E9C231408C0BB7D7DDC74840","Cement Hranice, a. s. - Hranice I-Město","CZ071","Cement","Cement",NULL,"emission factor",NULL,"902.3306159",NULL,"cement"
"49",187,"0101000020E610000051C3E3ECE77E2740A6DCD84702E84940","SCHWENK Zement KG - Bernburg","DEE0C","Cement","Cement",NULL,"emission factor",NULL,"1052.847624",NULL,"cement"
"50",188,"0101000020E6100000CCA843B8138220408B2B781BE5034940","Dyckerhoff GmbH - Wiesbaden","DE714","Cement","Cement",NULL,"emission factor",NULL,"295.5460213",NULL,"cement"
"51",189,"0101000020E610000075F4AE30331220408FFD37E5C0CC4840","Dyckerhoff GmbH - Göllheim","DEB3D","Cement","Cement",NULL,"emission factor",NULL,"1072.98145",NULL,"cement"
"52",190,"0101000020E610000021A177746D891F405B4D8D8642164A40","Dyckerhoff GmbH - Lengerich","DEA37","Cement","Cement",NULL,"emission factor",NULL,"1619.3322279",NULL,"cement"
"53",191,"0101000020E61000000E542179420221404708F53E9FCF4940","Dyckerhoff GmbH - Geseke","DEA5B","Cement","Cement",NULL,"emission factor",NULL,"421.454013",NULL,"cement"
"54",192,"0101000020E6100000629923D005AE2040B4B2E3D06CCC4940","Spenner GmbH & Co. KG - Erwitte","DEA5B","Cement","Cement",NULL,"emission factor",NULL,"925.9268283",NULL,"cement"
"55",192,"0101000020E6100000629923D005AE2040B4B2E3D06CCC4940","Spenner GmbH & Co. KG - Erwitte","DEA5B","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"56",193,"0101000020E6100000EFD412E1150F2840578FABEC169B4840","HeidelbergCement AG - Burglengenfeld","DE239","Cement","Cement",NULL,"emission factor",NULL,"1339.178625",NULL,"cement"
"57",195,"0101000020E610000085EB51B81E6525404FBF60376C634840","Märker Zement GmbH - Harburg","DE27D","Cement","Cement",NULL,"emission factor",NULL,"953.7489749",NULL,"cement"
"58",196,"0101000020E6100000581CCEFC6ABE234072D4264EEE2F4A40","HeidelbergCement AG - Niedersachsen","DE929","Cement","Cement",NULL,"emission factor",NULL,"904.9998761",NULL,"cement"
"59",197,"0101000020E610000012633EC5168F21402738503B571D4840","Holcim (Süddeutschland) GmbH - Dotternhausen","DE143","Cement","Cement",NULL,"emission factor",NULL,"1124.7811881",NULL,"cement"
"60",198,"0101000020E61000006362F3716DF824402F85AC133CAE4940","Dyckerhoff GmbH - Deuna","DEG06","Cement","Cement",NULL,"emission factor",NULL,"1627.375109",NULL,"cement"
"61",199,"0101000020E61000002AC93A1C5D5D284043E4F4F57CE54740","Südbayerisches Portland-Zementwerk Gebr. Wiesböck & Co. GmbH - Rohrdorf","DE21K","Cement","Cement",NULL,"emission factor",NULL,"1247.048921",NULL,"cement"
"62",200,"0101000020E61000001B802FE0C0B320404EDD561FB4CC4940","Portland Zementwerke Seibel und Söhne GmbH & Co. KG - Erwitte","DEA5B","Cement","Cement",NULL,"emission factor",NULL,"513.4890618",NULL,"cement"
"63",201,"0101000020E6100000D5850E70F71423402691E398764B4940","Zement- und Kalkwerke Otterbein GmbH & Co. KG - Großenlüder","DE732","Cement","Cement",NULL,"emission factor",NULL,"210.2326333",NULL,"cement"
"64",201,"0101000020E6100000D5850E70F71423402691E398764B4940","Zement- und Kalkwerke Otterbein GmbH & Co. KG - Großenlüder","DE732","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"65",202,"0101000020E610000010BEE60B102F28405FD1B82693674940","Wünschendorfer Dolomitwerk GmbH - Wünschendorf","DEG0L","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"66",203,"0101000020E6100000169DD1FB6B3E2440235F5331DFD34940","Fels-Werke GmbH - Kaltenburg-Lindau","DE918","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"67",204,"0101000020E6100000B5D66196879E2B4052EFB4EB943E4A40","Fels-Werke GmbH - Rüdersdorf","DE409","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"68",205,"0101000020E610000066039FD5B8B12540551A97BBE0E04940","Fels-Werke GmbH - Rübeland","DEE09","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"69",206,"0101000020E6100000ADD4FDADAE602440ACC77DAB75EC4940","Fels-Werke GmbH - Seesen","DE916","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"70",208,"0101000020E61000006DF6515788DC2740D896B1FC54724840","Fels-Werke GmbH - Saal a. d. Donau","DE226","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"71",209,"0101000020E610000041F163CC5D2B1C40481B47ACC59F4940","Kalkwerke H. Oetelshofen GmbH & Co. KG - Wuppertal","DEA1A","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"72",210,"0101000020E61000003FCAE3C4B22C1E40DED973999AD44740","Rheinkalk GmbH - Efringen-Kirchen","DE139","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"73",211,"0101000020E6100000F86008EF61A52740C568723106814840","Kalkwerk Rygol GmbH & Co. KG - Painten b. Kelheim","DE226","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"74",212,"0101000020E61000004A44F817410B20402401B4F7F3914940","Rheinkalk Grevenbrück GmbH - Lennestadt","DEA59","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"75",213,"0101000020E61000008983DFE1D13D2040957DFC4A8C354940","Schaefer Kalk GmbH & Co. KG - Runkel","DE723","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"76",214,"0101000020E61000001878EE3D5C22204091F2936A9F264940","Schaefer Kalk GmbH & Co. KG - Hahnstätten","DEB1A","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"77",216,"0101000020E6100000C824236761BF2040B2F4A10BEAB74940","Calcis Warstein GmbH & Co. KG - Warstein","DEA5B","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"78",217,"0101000020E6100000102CCEBD2C4628402B0B7BDAE1834840","Walhalla Kalk GmbH & Co. KG - Regensburg","DE232","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"79",218,"0101000020E610000072C0AE264F111B401A397183EB2A4940","Nikolaus Müller Kalkwerk-Natursteinwerke GmbH u. Co KG Ahütte - Üxheim","DEB24","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"80",219,"0101000020E6100000B2D7BB3FDECB2040977329AE2A054A40","Kalk- und Mergelwerke Heinrich Müller GmbH & Co.KG - Halle/Westfalen","DEA42","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"81",220,"0101000020E61000007B3F7FEBD4161C400B9EA8B6E5A34940","Rheinkalk GmbH - Wülfrath","DEA1C","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"82",221,"0101000020E6100000ACC5A700185F21408AB0E1E995B24940","Rheinkalk GmbH - Brilon","DEA57","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"83",222,"0101000020E6100000667B3E14165E1F4003A1B6B2E9B24940","Rheinkalk GmbH - Menden","DEA58","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"84",223,"0101000020E61000007880A43E7F2C2340978E39CFD8074A40","Rheinkalk GmbH - Salzhemmendorf","DE923","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"85",224,"0101000020E6100000ACEE47403B961D40FABC3D63BA214A40","Kalkwerke Otto Breckweg GmbH & Co. Kommanditgesellschaft - Rheine","DEA37","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"86",225,"0101000020E610000085EB51B81E6525404FBF60376C634840","Märker Kalk GmbH - Harburg","DE27D","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"87",226,"0101000020E61000001781B1BE81E11F4040548039C4144A40","Calcis Lienen GmbH & Co. KG - Lienen","DEA37","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"88",227,"0101000020E6100000AC9AD65C249F2640C6788E6DBE034940","Johann Bergmann GmbH & Co - Kasendorf","DE24B","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"89",229,"0101000020E610000052A7F22CF7942340283D1DD9A6154A40","Nordzucker AG - Nordstemmen","DE925","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"90",230,"0101000020E6100000F8904B7732172540C2DD59BBED024A40","Nordzucker AG - Schladen","DE91B","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"91",231,"0101000020E610000069F31ABB44C526408CBE823463094A40","Nordzucker AG - Stadt Wanzleben-Börde","DEE07","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"92",232,"0101000020E6100000C113C48A641D25406A4A5755D47C4A40","Nordzucker AG - Uelzen","DE93A","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"93",233,"0101000020E610000092FAFC416E102440266A0EB5121E4A40","Nordzucker AG - Hohenhameln","DE91A","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"94",234,"0101000020E6100000E773EE76BDD02340760AA826779A4940","Köhler Kalk GmbH - Meissner","DE737","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"95",235,"0101000020E610000015B336D77AD02340B3F979F8D7364840","Märker Kalk GmbH - Blaustein","DE145","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"96",236,"0101000020E61000004CE0D6DD3C3527403B809A5AB6AE4840","Hermann Trollius GmbH - Lauterhofen","DE236","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"97",237,"0101000020E6100000E71890BDDE7D19404C643BDF4F754940","Pfeifer & Langen GmbH & Co. KG - Jülich","DEA26","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"98",238,"0101000020E6100000C9C04BBA773E1B404E51E4FF44544940","Pfeifer & Langen GmbH & Co. KG - Euskirchen","DEA28","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"99",239,"0101000020E61000005A475513449D2140F54A598638FE4940","Pfeifer & Langen GmbH & Co. KG - Lage","DEA45","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"100",240,"0101000020E6100000E561A1D6346F1940DA8F149161DD4940","Pfeifer & Langen GmbH & Co. KG - Kalkar-Appeldorn","DEA1B","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"101",241,"0101000020E610000027874F3A91842740854CF3339AD94940","Pfeifer & Langen GmbH & Co. KG - Könnern","DEE0C","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"102",242,"0101000020E610000085494CAB7C422D40D46F157AB3144A40","ArcelorMittal Eisenhüttenstadt GmbH - Eisenhüttenstadt","DE40C","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"103",245,"0101000020E6100000CFCB176A03FA2740B370A312E8784940","Wünschendorfer Dolomitwerk GmbH - Caaschwitz","DEG0L","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"104",472,"0101000020E61000006D0B85BEAA292440C9F3CFC254D54840","Südzucker AG - Ochsenfurt","DE26C","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
"105",474,"0101000020E61000009D63E53C083A284073AA76F28E864940","Südzucker AG - Zeitz","DEE08","Cement","Lime",NULL,"not available",NULL,NULL,NULL,"not included in blue-print model"
