,site_name,nuts3_code,cluster,geometry,aidres_sector_name,production_route_name,prod_cap,prod_rate,utilization_rate,product_name,electricity_[gj/t] ton,alternative_fuel_mixture_[gj/t] ton,biomass_[gj/t] ton,biomass_waste_[gj/t] ton,coal_[gj/t] ton,coke_[gj/t] ton,crude_oil_[gj/t] ton,hydrogen_[gj/t] ton,methanol_[gj/t] ton,ammonia_[gj/t] ton,naphtha_[gj/t] ton,natural_gas_[gj/t] ton,plastic_mix_[gj/t] ton,sector_name,total_energy,Direct CO2 emissions (t)
0,Schretter & Cie GmbH & Co KG - Vils,AT331,-1,POINT (10.637497 47.551837),Cement,Cement,,330.05275575,100,cement,95401.74904953751,244001.73132361576,0,146369.6837823732,379947.490942239,0,0,0,0,0,0,0,0,Cement,1030146.3369573005,164425.68185953502
1,Zementwerk Leube Gesellschaft m.b.H. - St. Leonhard,AT323,-1,POINT (13.041891 47.727164),Cement,Cement,,478.2881936,100,cement,138249.20236008,353589.3740528016,0,212108.18705328894,550591.9764028993,0,0,0,0,0,0,0,0,Cement,1492812.3521567178,238273.61228764802
2,Baumit GmbH - Waldegg,AT122,-1,POINT (16.085401 47.87368),Cement,Cement,,449.0229585,100,cement,129790.08615442501,331954.1417828385,0,199129.8278886456,516902.6571823621,0,0,0,0,0,0,0,0,Cement,1401470.9704738013,223694.25746553004
3,Zementwerk Hatschek GmbH - Gmunden,AT315,-1,POINT (13.77487 47.920432),Cement,Cement,,505.0912255,100,cement,145996.61873077502,373404.3462788655,0,223994.62410089682,581446.876241286,0,0,0,0,0,0,0,0,Cement,1576468.8120714133,251626.34671959004
4,w&p Zement GmbH - Klein St. Paul,AT213,-1,POINT (14.533187 46.847807),Cement,Cement,,673.7515518,100,cement,194747.88604779003,498091.72096625576,0,298791.02618233254,775603.9213887097,0,0,0,0,0,0,0,0,Cement,2102884.102660812,335649.54807572404
5,w&p Zement GmbH - Peggau,AT221,-1,POINT (15.344571 47.214886),Cement,Cement,,0,100,cement,0,0,0,0,0,0,0,0,0,0,0,0,0,Cement,0,0
6,Lafarge Zementwerke GmbH - Retznei,AT225,-1,POINT (15.572523 46.735433),Cement,Cement,,499.8248793,100,cement,144474.38136166503,369511.0365937833,0,221659.1385927365,575384.4059535397,0,0,0,0,0,0,0,0,Cement,1560031.7208713985,249002.75836967403
7,Lafarge Zementwerke GmbH - Mannersdorf,AT127,-1,POINT (16.602681 47.982112),Cement,Cement,,931.584808,100,cement,269274.5887524,688702.9484430479,0,413133.26850906876,1072414.346594976,0,0,0,0,0,0,0,0,Cement,2907622.0719489325,464096.91964944004
8,Kirchdorfer Zementwerk Hofmann GmbH - Kirchdorf an der Krems,AT314,-1,POINT (14.117176 47.907331),Cement,Cement,,346.038737,100,cement,100022.49692985002,255819.86352809702,0,153459.04443684322,398350.10494976403,0,0,0,0,0,0,0,0,Cement,1080041.0878432144,172389.57799866004
9,"COMPAGNIE DES CIMENTS BELGES, C.C.B. - Gaurain",BE328,-1,POINT (3.492067 50.598576),Cement,Cement,,1859.937161,100,cement,537614.8363870501,1375016.204321241,0,824833.0285624497,2141107.581502692,0,0,0,0,0,0,0,0,Cement,5805155.145640412,926583.4948669801
10,Holcim - Obourg,BE323,-1,POINT (3.99292 50.4734),Cement,Cement,,1374.354646,100,cement,397257.21042630007,1016034.277049526,0,609490.0025383456,1582118.586545112,0,0,0,0,0,0,0,0,Cement,4289576.074103564,684675.9975442801
11,Cimenteries CBR Cementbedrijven - Antoing,BE328,-1,POINT (3.44447 50.573797),Cement,Cement,,756.2343723,100,cement,218589.54531331503,559069.7029883163,0,335369.9795276213,870555.8348293357,0,0,0,0,0,0,0,0,Cement,2360325.9022510024,376740.83959241403
12,Cimenteries CBR Cementbedrijven - Visé,BE332,-1,POINT (5.675046 50.761065),Cement,Cement,,1547.5087,100,cement,447307.3897350001,1144043.7792447,0,686279.2542203201,1781448.6851964002,0,0,0,0,0,0,0,0,Cement,4830016.992562421,770937.8841660001
13,Holcim Bulgaria S.A - Beli Izvor,BG313,-1,POINT (23.461547 43.276525),Cement,Cement,,619.3606435,100,cement,179026.19400367502,457881.5558873235,0,274670.09427126165,712990.6306991822,0,0,0,0,0,0,0,0,Cement,1933121.5602402724,308553.0853788301
14,Zlatna Panega Cement AD - Zlatna Panega,BG315,-1,POINT (24.150494 43.091879),Cement,Cement,,748.1350924,100,cement,216248.44845822,553082.0592445644,0,331778.1627129606,861232.1705882928,0,0,0,0,0,0,0,0,Cement,2335046.78133587,372705.94033183204
15,Devnya Cement - Devnia,BG331,-1,POINT (27.593325 43.229797),Cement,Cement,,1092.219212,100,cement,315705.9632286,807456.911266572,0,484370.3859348032,1257332.174716464,0,0,0,0,0,0,0,0,Cement,3408987.202180599,544121.76703416
16,Vassiliko Cement Works Public Company Ltd - Larnaca,CY000,-1,POINT (33.3164 34.7217),Cement,Cement,,1983.708325,100,cement,573390.89134125,1466517.874214325,0,879722.2722377201,2283589.4799069003,0,0,0,0,0,0,0,0,Cement,6191464.331048695,988243.8133485
17,"Lafarge Cement, a.s. - Čížkovice",CZ042,-1,POINT (14.0413 50.488667),Cement,Cement,,662.224986,100,cement,191416.13220330002,489570.3498750659,0,293679.2985513696,762334.861583592,0,0,0,0,0,0,0,0,Cement,2066907.8857388075,329907.24352548
18,"Českomoravský cement, a.s. - Mokrá",CZ064,-1,POINT (16.765096 49.213814),Cement,Cement,,1070.033747,100,cement,309293.25457035005,791055.6185159069,0,474531.7179035792,1231792.888601484,0,0,0,0,0,0,0,0,Cement,3339742.8916717805,533069.4120804601
19,"Českomoravský cement, a.s. - Praha 5 - Radotín",CZ010,-1,POINT (14.340112 49.994534),Cement,Cement,,747.5435011,100,cement,216077.448992955,552644.7070367091,0,331515.80758942093,860551.1472482892,0,0,0,0,0,0,0,0,Cement,2333200.3322453722,372411.221377998
20,"CEMEX Czech Republic, s.r.o. - Prachovice",CZ053,-1,POINT (15.628721 49.893795),Cement,Cement,,887.0912229,100,cement,256413.71797924506,655809.686356735,0,393401.5381478655,1021194.577248239,0,0,0,0,0,0,0,0,Cement,2768750.625156407,441931.1054243221
21,"Cement Hranice, a. s. - Hranice I-Město",CZ071,-1,POINT (17.761382 49.561458),Cement,Cement,,902.3306159,100,cement,260818.66452589503,667075.8800531679,0,400159.80662339024,1038737.7397668349,0,0,0,0,0,0,0,0,Cement,2816315.1571983504,449523.06622906204
22,SCHWENK Zement KG - Bernburg,DEE0C,-1,POINT (11.747863 51.81257),Cement,Cement,,1052.847624,100,cement,304325.60571720003,778350.2443183439,0,466910.12606672646,1212008.7050153282,0,0,0,0,0,0,0,0,Cement,3286102.310441919,524507.6293243201
23,Dyckerhoff GmbH - Wiesbaden,DE714,-1,POINT (8.254057 50.030429),Cement,Cement,,295.5460213,100,cement,85427.57745676501,218491.5581726853,0,131066.85803158769,340224.3044319636,0,0,0,0,0,0,0,0,Cement,922445.4149842355,147235.116891234
24,Dyckerhoff GmbH - Göllheim,DEB3D,-1,POINT (8.035547 49.599637),Cement,Cement,,1072.98145,100,cement,310145.2881225,793234.79933745,0,475838.94636472,1235186.2017594,0,0,0,0,0,0,0,0,Cement,3348943.13434507,534537.898761
25,Dyckerhoff GmbH - Lengerich,DEA37,-1,POINT (7.884207 52.173905),Cement,Cement,,1619.3322279,100,cement,468067.98047449504,1197141.5487741397,0,718131.0927028335,1864129.919456099,0,0,0,0,0,0,0,0,Cement,5054189.47070279,806718.929295222
